iris,taux_pauvrete_pre,com
250560502,14.101861616697585,25056
250560503,15.106505784906071,25056
250560504,11.27630559014325,25056
250560505,10.957712563090046,25056
250560506,14.088776680333366,25056
250560601,13.156384993208674,25056
250560701,22.218844446104185,25056
250560702,21.78430441422024,25056
250560703,14.048673592644107,25056
250560801,19.20749672627753,25056
250560803,,25056
250560805,19.131508747156555,25056
250560901,12.4825076966135,25056
250560902,13.521867981508345,25056
250560903,12.148926258059277,25056
250560904,13.605020864275021,25056
250560905,13.10151807696174,25056
250561001,11.643822428399982,25056
250561002,,25056
250561003,39.21476162642593,25056
250561005,14.888215301035197,25056
250561101,10.614675151268067,25056
250561105,,25056
250561201,39.7906036748898,25056
250561202,49.223256091718305,25056
250561203,58.67223675966776,25056
250561204,45.595220979387285,25056
250561205,50.16652068082274,25056
250561206,30.774544594722627,25056
250561207,47.1798041434131,25056
250561209,14.29259105087207,25056
250561301,11.285714285714285,25056
253880101,15.016926723517459,25388
253880103,13.562819652457334,25388
253880106,,25388
253880115,12.346078384945232,25388
253880116,21.789050516788382,25388
254620101,10.153143994870854,25462
254620102,,25462
254620105,11.630886954592604,25462
254620106,13.456315364652069,25462
254620107,14.715392966563984,25462
254620108,15.228258570938713,25462
254620109,,25462
255800101,15.323186919261579,25580
255800103,,25580
255800104,14.189899013511479,25580
255800105,14.744822189935215,25580
261980101,15.821984828185512,26198
261980202,10.042404536328215,26198
261980203,8.443090602326077,26198
261980301,13.491600405229741,26198
261980302,12.200165614052027,26198
261980401,14.70948893377671,26198
261980402,12.839155109122435,26198
261980404,12.489231509882153,26198
261980501,22.977943893225547,26198
261980502,36.72742190846517,26198
262350101,20.00061679454352,26235
262350102,40.985787932058955,26235
262350103,11.6980180289925,26235
262350105,11.802546131464426,26235
262350106,,26235
262810101,29.083292884751142,26281
262810102,27.957839536517,26281
262810201,,26281
262810202,18.9189185706541,26281
262810203,13.60469003070969,26281
262810204,11.201765364860725,26281
262810301,10.387872428025277,26281
262810302,16.762601261713034,26281
262810401,16.43322309374345,26281
262810402,16.530439393257918,26281
262810501,56.14708625562505,26281
263620102,21.141841265060485,26362
263620103,24.136834406754577,26362
263620104,16.198204789187198,26362
263620202,13.77186951410014,26362
263620301,10.668687715988701,26362
263620302,16.373151338956852,26362
263620303,16.265118270365395,26362
263620304,11.126021439432408,26362
263620401,16.126160162888137,26362
263620402,8.403361344537815,26362
263620403,14.797722865676144,26362
263620502,12.24137121411952,26362
263620503,11.610863743171194,26362
263620504,31.692744328743885,26362
263620601,9.440486444274919,26362
263620602,9.954762274755293,26362
263620701,35.5991001324029,26362
263620702,35.112373893819985,26362
263620801,32.635713049016765,26362
263620802,47.21069115301134,26362
263620803,49.06451335242696,26362
270560101,19.385494864349628,27056
270560102,,27056
270560103,,27056
270560104,13.542149047647086,27056
270560105,10.274503194553152,27056
272290101,,27229
272290102,12.976607036403209,27229
272290103,8.74204801970039,27229
272290201,,27229
272290202,9.952126010779788,27229
272290203,12.000952338515887,27229
272290302,13.293882098931489,27229
272290303,18.64176072570658,27229
272290401,32.813480667866735,27229
272290402,40.68735277690422,27229
272290403,30.0323039108863,27229
272290501,48.742066877091,27229
272290502,21.66587808017246,27229
272290601,59.90181586296146,27229
272290602,53.79670345113609,27229
272290701,58.70318322056763,27229
272290801,33.1087489060795,27229
272290802,18.16666051031794,27229
272290803,,27229
272290902,19.08642419746016,27229
272290903,,27229
272290904,28.51706567429677,27229
273750101,21.040889895905362,27375
273750102,14.003249541647017,27375
273750103,21.86911803250017,27375
273750105,20.769811275724198,27375
273750107,35.75667799005285,27375
273750108,23.162488878640318,27375
273750109,13.555618119723922,27375
273750110,,27375
276810101,7.4288694399851165,27681
276810102,12.552069776900225,27681
276810103,20.75277005773025,27681
276810104,16.491944014065325,27681
276810105,56.73305112159318,27681
276810106,37.46804280776647,27681
276810108,12.686473437937172,27681
276810109,12.880535675708686,27681
276810110,21.4789450058478,27681
277010101,27.280804638866513,27701
277010102,40.091275348266265,27701
277010103,46.751289231963256,27701
277010104,19.10153499199439,27701
280850101,40.49720444894791,28085
280850201,7.89393110571395,28085
280850202,11.756986624393258,28085
280850203,,28085
280850301,11.365069942028414,28085
280850302,14.872847802761077,28085
280850401,13.431793207216993,28085
280850501,14.55664369927407,28085
280850502,17.006612542525016,28085
280850601,10.47677641651587,28085
280850701,28.966179065138274,28085
280850702,9.0459221090851,28085
280850703,23.556092025916104,28085
280850801,,28085
280850802,8.79048481639135,28085
280880101,9.726516052318669,28088
280880102,13.58703499690293,28088
280880103,16.783652981303813,28088
280880201,42.66745602387547,28088
280880202,25.88904694167852,28088
281340101,18.7123826466532,28134
281340201,15.597933053847916,28134
281340202,43.64717925968623,28134
281340203,17.992466412744054,28134
281340204,30.456074570979535,28134
281340301,16.044718424637214,28134
281340302,15.26156154431502,28134
281340303,13.742699814737422,28134
281340401,23.99505628347748,28134
281340501,,28134
281340502,63.016235835097596,28134
281340503,49.79684949276913,28134
281340504,41.10556393382146,28134
282180102,15.791695102099832,28218
282180201,16.14407264869246,28218
282180302,,28218
282180401,12.112948948158254,28218
282290101,11.211656433866194,28229
282290102,,28229
282290301,,28229
282800101,14.185843453747703,28280
282800102,,28280
282800103,13.878793358433063,28280
282800104,32.20348159776689,28280
282800105,,28280
284040101,49.663345335821724,28404
284040102,17.52044591114728,28404
284040103,12.265637432304104,28404
284040104,12.575748613543984,28404
284040105,,28404
290190103,,29019
290190104,,29019
290190105,25.473733773008234,29019
290190106,,29019
290190107,12.4728138759989,29019
290190108,12.070249911769343,29019
290190110,36.272354918448485,29019
290190112,8.18144948381065,29019
290190113,10.3115727002967,29019
290190114,,29019
290190116,28.710395032754224,29019
290190117,13.289901079122401,29019
290190119,16.09427798043456,29019
290190122,10.523854069223573,29019
290190123,,29019
290190124,12.131891620006195,29019
290190126,34.28944784057801,29019
290190127,24.865988807644445,29019
290190128,24.373971188517316,29019
290190129,27.097601152590176,29019
290190132,30.896821948316944,29019
290190133,13.475205028709633,29019
290190134,,29019
290190135,13.164221507944745,29019
290190136,11.50516615470539,29019
290190137,12.746459316856429,29019
290190138,9.481746842459144,29019
290190139,18.08902532626521,29019
290190140,17.330747299332305,29019
290190141,17.16500124446121,29019
290190142,16.375776310856082,29019
290190143,13.844895020277663,29019
290190144,14.874140258136038,29019
290190145,7.630668366417774,29019
290190146,,29019
290190147,13.493581791566733,29019
290190148,14.542147695998446,29019
