code_qpv,iris_controle,distance_score,niveau
QP038015,385530107,0.9999163211743416,commune
QP038015,385530108,0.9999267418547112,commune
QP038015,385530101,0.9999578514287984,commune
QP038016,385530106,0.9998944515774771,commune
QP038016,385530107,0.9999158817120384,commune
QP038016,385530108,0.999926302392408,commune
QP038016,385530101,0.9999574119664952,commune
QP038018,385440301,0.999864359327865,unite_urbaine
QP038018,385440101,0.9999331744684261,unite_urbaine
QP038018,385440303,0.9999448458051192,unite_urbaine
QP038018,385440401,0.9999514148420837,unite_urbaine
QP038018,385440201,0.9999547508390881,unite_urbaine
QP038019,385440301,0.9998635815828036,unite_urbaine
QP038019,385440101,0.9999323967233648,unite_urbaine
QP038019,385440303,0.9999440680600579,unite_urbaine
QP038019,385440401,0.9999506370970224,unite_urbaine
QP038019,385440201,0.9999539730940268,unite_urbaine
QP038021,692590402,0.999499210148375,unite_urbaine
QP038021,692560302,0.9996566370115721,unite_urbaine
QP038021,692560601,0.9996591541646977,unite_urbaine
QP038021,692560404,0.9996750087733165,unite_urbaine
QP038021,692590502,0.9996776364411641,unite_urbaine
QP038022,385440301,0.9998614622362095,unite_urbaine
QP038022,385440101,0.9999302773767706,unite_urbaine
QP038022,385440303,0.9999419487134638,unite_urbaine
QP038022,385440401,0.9999485177504283,unite_urbaine
QP038022,385440201,0.9999518537474327,unite_urbaine
QP038023,385440301,0.9998635662857277,commune
QP038023,385440101,0.9999323814262888,commune
QP038023,385440303,0.9999440527629819,commune
QP038023,385440401,0.9999506217999464,commune
QP038023,385440201,0.9999539577969508,commune
QP038024,385440301,0.9998649308200019,commune
QP038024,385440101,0.9999337459605631,commune
QP038024,385440303,0.9999454172972562,commune
QP038024,385440401,0.9999519863342207,commune
QP038024,385440201,0.9999553223312251,commune
QP038025,385440301,0.9998623912008539,unite_urbaine
QP038025,385440101,0.999931206341415,unite_urbaine
QP038025,385440303,0.9999428776781081,unite_urbaine
QP038025,385440401,0.9999494467150726,unite_urbaine
QP038025,385440201,0.999952782712077,unite_urbaine
QP038026,385440301,0.9998642133229729,commune
QP038026,385440101,0.999933028463534,commune
QP038026,385440303,0.9999446998002272,commune
QP038026,385440401,0.9999512688371917,commune
QP038026,385440201,0.9999546048341961,commune
QP039001,391980110,0.9999478898127084,commune
QP039001,391980102,0.9999487574385307,commune
QP039001,391980105,0.9999498108975496,commune
QP039001,391980106,0.9999567974058613,commune
QP039001,391980108,0.9999578437812342,commune
QP039002,393000107,0.9999441195975337,commune
QP039002,393000102,0.999957539016975,commune
QP039002,393000106,0.9999645635395186,commune
QP039002,393000108,0.9999695763651545,commune
QP039003,394780103,0.9999060520020046,commune
QP039003,394780104,0.9999349911850258,commune
QP039003,394780101,0.9999556717928308,commune
QP039003,394780102,0.9999566553508391,commune
QP040001,400880102,0.9999511329622672,commune
QP040001,400880106,0.9999562618739862,commune
QP040001,400880105,0.9999593041150899,commune
QP040001,400880103,0.9999600780523306,commune
QP040001,400880107,0.9999618777255133,commune
QP040002,400880102,0.999950699459844,commune
QP040002,400880106,0.999955828371563,commune
QP040002,400880105,0.9999588706126668,commune
QP040002,400880103,0.9999596445499074,commune
QP040002,400880107,0.9999614442230901,commune
QP040003,400880102,0.999949742637648,commune
QP040003,400880106,0.999954871549367,commune
QP040003,400880105,0.9999579137904707,commune
QP040003,400880103,0.9999586877277113,commune
QP040003,400880107,0.999960487400894,commune
QP040004,401920104,0.9999319775778925,commune
QP040004,401920105,0.999940047856524,commune
QP040004,401920106,0.999957459413091,commune
QP040004,401920107,0.9999577695555221,commune
QP040004,401920101,0.9999652534347799,commune
QP040005,401920104,0.9999309719153143,unite_urbaine
QP040005,401920105,0.9999390421939458,unite_urbaine
QP040005,401920106,0.9999564537505128,unite_urbaine
QP040005,401920107,0.9999567638929439,unite_urbaine
QP040005,401920101,0.9999642477722017,unite_urbaine
QP041001,410180901,0.9995489592686092,commune
QP041001,410180101,0.99964583786702,commune
QP041001,410180301,0.9997042320939098,commune
QP041001,410180102,0.9997187056129336,commune
QP041001,410181102,0.9998477711000201,commune
QP041002,412690102,0.9997362118331661,commune
