CodGeo,Note,nbLsPls,nbLsMes,txVac,txVac3m,txRot,txLsCol,txLsInd,txLs1p,txLs2p,txLs3p,txLs4p,txLs5pp,txLsm30,txLs30a40,txLs40a60,txLs60a80,txLs80a100,txLs100a120,txLs120p,txLsAv49,txLs49a75,txLs76a88,txLs89a00,txLs01a13,txLsAp13,txLsPlai,txLsPlusAv77,txLsPlusAp77,txLsPls,txLsPli,moyLoy,q1Loy,medLoy,q3Loy
QP060011,0,2963.0,,"0,4",,"6,6","98,8","1,2","7,5",15,"35,2","32,2","10,2",,"6,9","24,3","52,5","14,5",,,,"98,8",,,,,,"87,6","7,2","3,3",,"5,06","4,46","4,91","5,57"
QP060012,0,545.0,,,,"8,1",,,"10,1","21,7","42,4","17,8","8,1",,9,"22,8","50,3","15,4",,,,"19,3","64,2",,,,,"22,8","68,1",,,"5,88","4,96","5,79","6,69"
QP060013,0,962.0,,"2,3","1,2","8,3",,,"2,8","23,5","35,2","26,8","11,6",,"3,1","21,6",49,"23,3",,,,"57,5","37,9",,,,,"74,8",,,,"4,96","4,58","4,91","5,21"
QP060014,0,502.0,,,,"4,9",,,,"25,9","29,5","40,4",,,,"37,8",58,,,,,,,,,,,,,,,"5,32","4,89","5,22","5,67"
QP060015,0,259.0,,"8,1","7,7","4,9","86,5","13,5",,,"37,1","39,4","14,3",,,,"56,8","34,7",,,,"58,3",,,"25,5",,,"58,3",34,,,"5,76","4,9","5,79","6,15"
QP060016,0,737.0,,"3,1","2,7","6,6",,,"10,4",14,"37,7","30,1","7,7",,"6,2","12,8","46,8",27,"3,9",,,,"54,8",,,,,"53,9",,,,"4,94","4,35","4,72","5,48"
QP060017,0,412.0,,,,"10,1","86,2","13,8",,"22,8","46,6","24,3",,,,"26,5","55,3","12,9",,,,"34,2","55,3",,,,,83,"13,3",,,"5,4","4,89","5,35","5,86"
QP060018,0,457.0,,"6,4","5,9","3,7","86,7","13,3","4,6","20,4","41,8","26,3",7,,,"20,4","60,2","14,2",,,,"62,1",28,,,,,"62,1",,,,"5,1","4,5","4,87","5,76"
QP061001,0,808.0,,"12,3","8,8",15,"91,1","8,9","6,3","17,9","39,7","25,5","10,5","1,5","3,3","21,5","57,7","14,6",,,,74,"23,9",,,,,"92,3",,,,"4,41","3,94","4,22","4,79"
QP061002,0,1225.0,,"9,4","7,4","14,5","88,7","11,3",5,"18,4","35,2","30,6","10,8","2,8","4,5","35,3","43,6","11,8",1,"1,1",,84,"3,3","5,4","5,7",,"1,1","84,7",10,"2,4","1,7","5,04","4,56","5,01","5,43"
QP061003,0,585.0,,"16,7","14,5","16,7","97,6","2,4",,"24,6","42,9","29,9",,,,"46,8","50,6",,,,,,,,,,,,,,,"4,6","4,06","4,34","5,17"
QP061004,0,754.0,,"4,1","2,6","10,5",,,"7,6","18,6","39,8","27,2","6,9","4,5",,"18,8","61,5","11,8",,,,"75,3","18,6",,"4,4",,,"87,9",,,,"4,6","4,32","4,5","4,82"
QP061005,0,614.0,,8,"5,9",13,,,"3,1","23,5","43,8","26,9","2,8",,,"36,3",56,"3,9",,,,"94,6",,,,,,,,,,"4,79","4,55","4,74","5,04"
QP061006,0,1567.0,,"9,8",7,"18,6","96,4","3,6","2,6","21,5","36,4","31,6","7,9",,"3,8","20,5","55,3","18,8",,,,"69,9","22,3",,,,,"89,3",,,,"4,58","4,06","4,51",5
QP061007,0,1089.0,,"1,3",,15,"96,8","3,2",,"15,2","43,3","33,7",,,,"47,3","43,7","4,6",,,,"88,2",,"2,4",,"7,5","2,4","88,1","8,5",,,"4,91","4,58","4,79","5,02"
QP062001,0,175.0,,,,,"21,7","78,3",,,"31,4","55,4",,,,,"51,4","40,6",,,,,"24,6","28,6","26,9",,,,"56,6",,,"5,05","4,29","5,16","5,92"
QP062002,0,585.0,,,,"5,8","4,3","95,7",,15,"33,7","45,6",,,,"15,2","55,2","24,1",,,"43,1","12,1","11,1",,"24,6",,,"11,8","80,3","5,5",,"5,9","5,29","5,94","6,35"
QP062003,0,579.0,,,,"7,3",25,75,,,"28,2","32,5","24,9",,,,"50,8","25,6",,,"20,4","9,2","46,6",,"17,6",,,,"86,7",,,"5,79","5,15","5,99","6,2"
QP062004,0,622.0,,"5,5",4,"16,3","51,1","48,9",,"26,5","36,5","30,1",,,,"29,4","47,9","19,5",,,"27,8",,"31,4","28,1","10,6",,,,87,,"8,7","6,18","5,8","6,27","6,72"
QP062005,0,878.0,,,,"4,6",,,,"7,7",30,"54,9",,,,"20,8","70,3",,"5,8",,"89,2",,"4,3",,,"3,6","5,5",,"85,5","4,6",,"5,6","4,96","5,61","6,17"
QP062006,0,219.0,,,,"5,7",,,,,"31,5","32,4","29,2",,,"13,2","29,2","48,4",,,,"92,2",,,,,,"92,2",,,,"4,31","3,94","4,04","4,24"
QP062007,0,935.0,,"2,2",,"8,6","14,9","85,1",,"31,7","29,3","35,6",,,,"38,5","43,2","15,4","1,6",,"59,1",,"26,6","8,2",,,"6,6","36,7","51,2","3,1","2,4","5,89","5,07","5,9","6,77"
QP062008,0,1177.0,,"2,8","1,6","8,8","91,2","8,8","9,2","19,9","56,5","10,5","3,9","8,2","3,7","39,8","38,7",8,,,3,"73,6","15,4","1,6","3,7","2,8",,"85,2","12,1",,,"5,72","5,27","5,56","5,98"
QP062009,0,534.0,,"2,6",,"7,5","37,1","62,9","6,9","12,5","37,3","32,6","10,7",,"3,6","21,2","40,6","28,1","3,4",,"36,3","13,7",32,"2,1","13,3","2,6","7,1","43,8","44,9",,,"6,17","5,28","5,95","6,6"
QP062010,0,316.0,,,,"10,9","59,2","40,8",,,"33,9","45,3",,,,,"57,9","20,3",,,31,,"39,6",,"19,9",,,"67,4",,,,"5,42","4,9","5,24","5,97"
QP062011,0,2080.0,,"4,7","2,1","9,2","37,4","62,6","2,5","13,8",44,"24,4","15,2",,"1,7","33,7","40,1","22,3","1,5",,"47,2",11,"30,1","9,4",,,"2,7","20,6","69,6","2,7","4,4","5,82","5,1","5,85","6,44"
QP062012,0,637.0,,,,"8,2","13,8","86,2",,,"44,7","23,1","19,9",,,"30,1","53,7",,,,"69,7",,6,22,,,8,,"88,4",,,"5,73","5,16","5,84","6,38"
QP062013,0,709.0,,,,"7,1",23,77,,"18,5",45,"24,3",,,,"29,8","51,3","16,1",,,"65,6","12,3","19,3",,,,"3,5","29,1",58,"3,8","5,6","5,51",5,"5,51","6,03"
QP062014,0,704.0,,,,"11,9",,,,,"49,4","31,5","11,8",,,"30,3","45,7","22,3",,,"77,7",,,,"7,8","8,4","5,1",,"88,8",,,"5,42","4,87","5,44","6,01"
QP062015,0,421.0,,"3,4",,"14,6",58,42,,"23,8","41,8","24,7",,,,"34,2","55,6",,,,"26,8","36,3","33,5",,,,,"52,7",,,,"5,68","5,12","5,67","6,17"
QP062016,0,437.0,,,,"6,8",,,,,"40,3","28,1","22,2",,,"10,8","43,9","36,6",,,"61,8","10,8",,"16,9","6,2",,8,,"86,3",,,"5,68","5,04","5,68","6,34"
QP062017,0,989.0,,,,"7,3",,,,,"33,3","21,4","38,1",,,"29,5","31,5",35,,,85,,"7,4",,"3,8",,,,"88,8","6,2",,"5,66","4,86","5,62","6,4"
QP062018,0,618.0,,"2,7",,"5,8","6,3","93,7",,,33,"49,8","8,7",,,,"37,5","32,7",,,"77,3",,,,"14,9",,"11,2","24,9","56,1",,,"5,76","5,16","5,78","6,38"
QP062019,0,1772.0,,"4,7","2,8","7,6","65,7","34,3",,"15,5","30,5","50,6",,,,"19,6","68,3",10,"1,2",,"28,4","55,6",,,"7,8",,,"61,2","35,3",,,"5,29","4,67","5,28","5,82"
QP062020,0,815.0,,"1,5",,"5,8","18,2","81,8",,,"46,4",31,"12,1",,,"16,8","68,1","8,7",,,"59,8",,"21,8","9,4","6,9",,"6,6","16,4","70,9",,,"5,6","4,97","5,64","6,17"
QP062021,0,748.0,,"2,2",,"12,8","60,7","39,3",,"24,9","36,2","31,1",,,,"22,3","53,9",17,,,31,,"59,6",,,,,"15,4","81,8",,,"5,97","5,41","6,07","6,51"
QP062022,0,1275.0,,"1,4",,"7,6","4,9","95,1",,,"41,8","40,8",9,,,"12,4","69,4",14,,,"77,3",,"10,5","7,2",,,"6,7",,"91,8",,,"5,9","5,29","5,87","6,46"
QP062023,0,794.0,,,,"9,5","4,9","95,1",,"9,1","24,3","57,9",,,,"14,9","56,7","22,7",,,"57,6",,"36,8","3,9",,,"7,9",,"87,3",,,"5,8","5,2","5,83","6,37"
QP062024,0,807.0,31.0,,,"13,8","12,6","87,4",,,30,"40,9",,,,,41,"54,4",,,"78,2","6,1",,,,"13,8","7,4","5,9","80,9","3,1","2,6","5,64","4,95","5,77","6,41"
QP062025,0,1817.0,,"4,3","2,4","8,6","75,3","24,7","3,4","20,3","44,9",20,"11,4",,"4,5","20,1","52,4","19,5",,,"8,9","29,1","38,8","2,6","18,7",2,,"66,6","28,5",3,,"5,52","5,02","5,43",6
QP062026,0,388.0,,,,"9,8","11,9","88,1",,,9,"15,2","72,9",,,,"20,6","61,1","12,9",,"85,8",,,,,,"15,5",,"78,9",,,"5,56","5,01","5,59","6,19"
QP062027,0,735.0,,"4,3","3,3","4,9","42,4","57,6",,,"39,7","29,9","24,9",,,"24,4",38,"34,3",,,"42,7","40,8",,,"11,6",,2,"40,4","55,5",,,"5,29","4,76","5,15","5,92"
QP062028,0,2461.0,12.0,"4,2","3,2","10,1",45,55,"3,5","13,3","31,9","44,9","6,3","2,6","1,2","18,1","53,7","21,9","1,8","0,7","44,5","14,8","31,3","1,6",2,"5,7","2,8","44,8",51,,,"5,55","4,92","5,51","6,19"
QP062029,0,1719.0,,"2,5","1,8",6,"17,6","82,4",,,"41,2","19,5","31,2",,,"11,5","43,2","41,3","3,2",,"65,9","7,4","10,6","1,4","7,6",7,,"18,2","76,4","3,3",,"5,57","4,94","5,47","6,22"
QP062030,0,806.0,,"3,8","2,8","7,9","23,8","76,2",,,"36,7","51,9","7,7",,,"15,8","65,3","15,5",,,"54,7","25,9",,"15,5",,,,"23,8","72,1",,,"5,74","5,16","5,7","6,29"
QP062031,0,453.0,,,,"5,3",,,,"9,1","38,2","48,6",,,,,"74,2","17,2",,,"80,6",,"12,8",,,,,,"94,3",,,"5,96","5,41","6,05","6,41"
QP062032,0,564.0,,,,"7,6","21,1","78,9",,"7,4","47,3","37,4",,,,"9,2","83,5",,,,77,,"20,9",,,,,"10,6","79,3","6,2",,"5,79","5,15","5,8","6,45"
QP062033,0,1239.0,,"1,9","1,3","4,6","23,9","76,1",,"14,3",30,"43,5",,,,"23,8","49,7","18,6","6,9",,"56,3","5,8","23,3","2,3","9,7","2,6",,"14,9",72,"6,5",,"5,57",5,"5,5","6,07"
QP062034,0,416.0,,,,"5,8",,,,,"26,2",69,,,,"16,6","57,2","23,6",,,"80,5",,,,,,,,"93,8",,,"5,54","5,04","5,6","5,97"
QP062035,0,682.0,,,,"12,2","5,3","94,7",,,"35,5","35,3","24,6",,,6,"45,6","41,5","5,3",,"73,2",,"7,6",,"17,3",,,"7,5","75,1","12,8",,"5,92","5,3",6,"6,47"
QP062036,0,1052.0,,"6,7","4,2","11,1","96,9","3,1","8,4","12,4","45,1","27,7","6,6","5,5",,"13,5","63,4","13,9",,,,"48,9","46,7",,3,,,"66,5","30,3",,"1,6","5,18","4,51","5,03","5,76"
QP062037,0,516.0,,,,"14,4","97,1","2,9","9,9",24,"40,5","22,5","3,1",,"5,6","26,4","47,9","16,7",,,,,"56,8","35,9",,"4,7",,"28,1",64,"4,7",,"5,89","5,44","5,89","6,31"
QP062038,0,258.0,,,,"7,3","36,4","63,6",,"23,3","20,5","44,2",,,,"23,3",,"55,8",,,"56,2",,,,,,12,"66,7","16,3",,,"5,36","4,83","5,02","5,92"
QP062039,0,440.0,,,,"14,3","75,9","24,1",,"11,8","41,8","34,8",,,"9,3","14,8","51,6","19,5",,,"15,5","58,9",,,"16,8","5,7",,"58,9",,,,"5,29","4,78","5,34","5,79"
QP062040,0,572.0,,,,"9,9","2,1","97,9",,14,"24,3","55,9",,,"2,4","18,4","57,3","14,7","5,1",,"61,9","28,3",7,,,,,"5,1",82,8,,"5,66","4,91","5,68","6,39"
QP062041,0,610.0,,,,"5,5",3,97,,,18,"73,3",,,,"13,8","72,5","9,3",,,"73,9",,,"13,3","3,3","6,4",,,"82,1",12,,"5,63","4,96","5,64","6,25"
QP062042,0,341.0,,"12,9","10,4","9,4",,,,"14,4",34,"42,5",,,,"27,9","50,1","16,1",,,,,"50,7",,,,,,"50,7",,,"5,87","5,31","6,06","6,51"
QP062043,0,592.0,,,,"12,5","31,4","68,6",,"13,9",27,"53,9",,,,"18,6","56,9","20,1",,,"68,6",,,,,,"3,4",,"93,9",,,"5,66","5,17","5,64","6,19"
QP062044,0,938.0,,"5,5","3,4","8,9","98,4","1,6",,"35,4","46,1",17,,,,"40,6","46,5","11,3",,,,"33,5","64,8",,,,,"98,2",,,,"5,13","4,74","5,12","5,47"
QP062045,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP062046,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP062047,0,477.0,,,,8,"9,6","90,4",,"12,8","19,3","59,5",,,,"14,3","63,7","18,9",,,"61,4",,"22,2",,"7,8",,,"11,1","85,1",,,"5,9","5,1","5,93","6,46"
QP062048,0,402.0,,,,"9,1","33,3","66,7",,"26,9","42,8",,"15,9",,,"27,1","39,8","19,4","7,5",,"22,6","28,4","38,8",,,,,"17,7","79,1",,,"5,63","4,94","5,64","6,38"
QP062049,0,753.0,,"8,2",7,"8,1",,,"6,6","21,2",34,"34,5","3,6","4,9",,"26,4","51,8","9,8","4,4",,,,,,,,,,,,,"5,02","4,68","4,86","5,25"
QP062050,0,263.0,,16,"14,7","12,5","90,5","9,5","19,4","26,2","31,9","16,7","5,7",,"11,8","28,1","32,7","15,6",,,,,"23,6","52,1",,"16,7",,,54,"39,2",,"6,33","5,82","6,29","6,77"
QP062051,0,2919.0,,"15,4","14,1",8,"86,7","13,3","0,5","18,6","42,3","28,8","9,8",,"0,9","20,5","47,1","27,6","3,4",,,"43,4","30,3",5,20,,,"36,3","30,1",33,,"5,4","5,05","5,45","5,89"
QP062052,0,453.0,,"4,6",3,"12,1",81,19,,"19,4",30,"42,4",,,13,"34,9","39,5",,,,,"79,2",,,"5,1","12,4",,"79,2","9,3","7,7",,"5,49","4,86","5,25","5,91"
QP062053,0,559.0,,,,"8,3",97,3,,"15,9","50,1","30,8",,,"3,8","49,6","43,5",,,,,"88,9",,,,,,,,,,"4,87","4,65","4,81","5,08"
QP062054,0,895.0,,"1,7",,"8,9","83,4","16,6",,"18,5","33,4","32,1",,,,"18,4","62,8","16,2",,,,"44,4","44,8",,"5,7",,,"77,2",,,,"5,07","4,63","5,04","5,51"
QP062055,0,1181.0,,"1,6",,"7,4","67,3","32,7",,,38,"23,5","27,3",,,"15,9",50,21,,,,"61,6","7,5",,24,,,"64,1","32,9","1,7",,"5,06","4,42","4,91","5,73"
QP062056,0,3730.0,,"6,5","5,1","9,6","95,6","4,4","4,3","20,6","42,6","25,6","6,8",,"3,9","20,5",54,17,"4,2",,,"66,2",23,,"9,3","1,2",,"76,5","20,9",,2,"5,06","4,52","5,07","5,56"
QP062057,0,305.0,,,,"14,4","80,7","19,3",,"11,8","54,8","28,2",,,,23,"56,7","16,1",,,"13,4",,21,"26,9","26,9",,,"33,4","54,8",,,"5,78","4,83","5,91","6,32"
QP062058,0,241.0,,,,"12,4","76,8","23,2",,"22,4",44,22,,,"7,9","23,7",32,"31,5",,,,,"46,9","35,7",,"9,1",,,"90,9",,,"5,56","5,03","5,48","6,03"
QP062059,0,363.0,,"12,5",11,"8,9","76,6","23,4",,,"40,8","35,5","11,8",,,,"56,7",22,,,,"64,7","29,8",,,,,"65,8",,,,"5,2","4,84","5,09","5,39"
QP062060,0,501.0,,"3,2","2,2","8,9","92,8","7,2","4,6","27,1","44,9",18,"5,4",,,"27,1","55,7","7,8","4,8",,,87,,,,,,87,,,,"5,1","4,75",5,"5,35"
QP062061,0,2983.0,,"2,8","1,6","7,3",95,5,"1,5","23,4","41,1","27,9","6,2",,,"37,3","52,1","6,3","2,4",,,"94,9",,,"4,6",,,"94,6","4,7",,,"5,05","4,65","5,03","5,35"
QP062062,0,650.0,,"6,4","4,1","6,2",,,,"31,7","37,1","21,5",,,,"36,6","40,8","19,7",,,,,"63,1",,,,,,"63,1",,,"5,81","4,97","5,67","6,48"
QP062063,0,357.0,,,,"19,1","36,4","63,6",,,"31,9","30,5","31,1",,,16,"35,9","34,7","8,1",,,,"37,8","27,2","17,6",,5,"17,6","61,3","10,1","5,9","5,89","5,56","5,91","6,2"
QP062064,0,1028.0,,"1,8",,"9,3",,,,"30,5","49,1","18,4",,,,"35,4","47,3",15,,,,"23,4","55,1",,,"11,1",,"78,5","16,1",,,"5,23","4,74","5,06","5,54"
QP063001,0,401.0,,,,"10,6",94,6,"5,2",11,"38,2","38,4","7,2",,,9,"51,9","32,9",,,,"48,6","45,4",,,,,"79,3",,,,"4,29","3,92","4,08","4,57"
QP063002,0,1845.0,,"6,5","1,7","12,1",,,"15,7","16,3","45,7","17,1","5,1","15,1",,"49,7","26,7","6,9",,,,"86,9",,,,,,"86,9",,,,"4,54","4,16","4,51","4,91"
QP063003,0,2468.0,15.0,"2,6","0,8","9,9",,,"6,3","16,2","31,8","35,9","9,7","1,7","3,3","16,5","46,7","30,8",,,,"67,3","26,1",,,6,,84,"11,3",,,"3,97","3,42","3,85","4,25"
QP063004,0,1441.0,,,,"5,3",,,"2,8","8,4","37,6","40,2",11,,"2,8","13,7","55,4","26,1",,,,"94,2",,,,,,"79,3",,,,"4,31","3,7","4,38","4,78"
QP063005,0,909.0,,"1,2",,"8,3",,,4,"13,5","36,2","35,1","11,2",,"2,2","15,1","69,7","11,2",,,,,,,,,,,,,,"4,43","3,96","4,14","4,55"
QP063006,0,697.0,,"1,6",,"12,4","94,1","5,9","6,6","6,9","34,7","45,3","6,5",,,"10,3","66,6","17,9",,,,"80,8",,,,,,"80,8",,,,"4,47","3,91","4,01","4,43"
QP063007,0,293.0,,"7,6","5,2","13,9","95,6","4,4",,"16,7","43,7","29,4",,,,"20,5","60,1","12,3",,,15,"48,5","8,2",,"18,4",,,"48,5","46,1",,,"4,6","3,92","4,08","5,2"
QP064001,0,484.0,38.0,,,"5,5",,,"2,7","27,1","39,5","27,3","3,5",,,"49,2","41,9","5,2",,,"3,9","85,7",,,,"7,9",,80,"16,5",,,"5,63","5,11","5,5","5,97"
QP064002,0,1284.0,,"3,7","2,1","6,6",,,,,"42,4","30,1","14,3",,,"10,2","60,7","22,2",,,,,,,,,,,,,,"5,29","4,95","5,29","5,74"
QP064003,0,1871.0,,"2,6","1,4","8,8",,,"2,2","6,6","37,5","34,2","19,5",,,"13,3","64,5",20,,,,"98,7",,,,,,"98,7",,,,"4,99","4,6","4,88","5,3"
QP064004,0,832.0,,"3,6","2,3",11,"90,3","9,7",,,"31,5","28,8","27,6",,"4,6","21,5","54,9","16,3",,,,73,"15,3",,"7,8",,"14,4","71,4",,,,"5,3","4,91","5,22","5,59"
QP065001,0,601.0,,"6,3","4,1","16,3",,,"1,8","19,3","36,8","38,9","3,2",,,23,"47,8",20,7,,,,,,,,,,,,,"4,71","4,23","4,69","5,06"
QP065002,0,1201.0,,"3,1","1,1","11,4","91,8","8,2","3,9","19,3","41,3","29,5",6,,"5,7","26,7","49,5",15,"1,4",,,"56,5",,,"35,1",,,"56,5","41,9",,,"5,27","4,71","5,1","5,87"
QP065003,0,867.0,,12,"10,1","10,1","98,3","1,7","3,7",22,"41,9","22,5","9,9",,"2,4","22,8","50,1","20,9","1,7",,,"33,4","26,5","15,1","20,9",,"2,4","31,9","62,9",,,"5,99","5,53","5,99","6,37"
QP065004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP066001,0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,83","5,08","5,88","6,09"
QP066002,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP066003,0,596.0,,"4,5","2,5","10,8","92,4","7,6","3,9","21,1","39,4",29,"6,5",,"5,7","20,5","52,7","15,4",,,"6,4","46,8",,,"33,9","10,9","11,1","46,8","38,9",,,"5,68","5,23","5,44","6,07"
QP066004,0,1052.0,,,,"7,5","97,6","2,4","3,4","9,3","39,8",36,"11,4",,"3,2","8,1","52,9","26,1","8,4",,,"50,6","42,1",,,"5,8",,"87,6","10,5",,,"4,73","4,44","4,55","4,77"
QP066005,0,894.0,,"1,5",,"7,9","85,9","14,1","4,1",15,"35,7",34,"11,2",,,"15,8","52,2","21,3","5,9",,,"74,8",,,18,"5,6",,"74,3","14,1",,,"4,93","4,58","4,86","5,21"
QP066006,0,204.0,,,,"10,2",,,,,"46,6","38,7",,,,"44,1",49,,,,,,"33,3","37,7",,,,,"52,5",,,"5,84","5,38","6,12","6,35"
QP066007,0,485.0,,,,"8,5","96,9","3,1","3,5","10,1","50,3",32,"4,1","5,8","3,5",28,"45,2","15,1",,,"62,5",,,"31,3",,,,"62,5","30,1","4,1",,"5,33","4,79","5,07","5,93"
QP066008,0,751.0,,8,"6,6",13,"96,5","3,5","18,9","22,8","26,6","26,8","4,9","10,8","15,6","34,9","27,6","8,3",,,"77,8","9,9",,"3,5","7,2",,"37,4","36,1","24,2",,,"5,18","4,55","4,94","5,5"
QP066009,0,223.0,,,,,"52,5","47,5","7,2","15,2",17,"40,4","20,2",,,"32,7","21,1","38,6",,,,"53,4",,"28,7",,,"39,5","52,9",,,,"4,67","4,12","4,44","5,15"
QP066010,0,646.0,,9,"6,2","6,3",,,,,"24,9","50,3","12,4",,,,"65,2","22,4",,,,,,,,,,,,,,"4,53","4,41","4,53","4,61"
QP067001,0,217.0,,,,"10,8",,,,"20,7","31,8","31,8",,,,"18,9","44,2","31,3",,,,"33,6",,29,"31,3",,,"17,1","74,7",,,"5,63","5,13","5,51","6,02"
QP067002,0,350.0,,"13,5","9,5","4,3",,,,"16,9","43,1","33,4",,,,"16,3","51,1",28,,,,"60,3",,"21,4",,,,"78,6",18,,,"5,79","5,43","5,75","6,03"
QP067003,0,338.0,,"4,3",,"6,3","96,2","3,8",,"23,7","22,5","44,7",,,"5,9","26,6","40,2","23,4",,,,"41,4","15,4","32,5",,,,"47,9","47,3",,,"5,84","5,3","5,78","6,38"
QP067004,0,2128.0,,"1,9","1,3","4,7",,,"1,1","10,3","37,6","38,9","12,2",,"2,1","28,7","38,7","28,7",,,,94,,,,,,,,,,"5,42","5,03","5,37","5,75"
QP067005,0,630.0,,3,,"5,3",,,"4,9","24,6","39,2",19,"12,2",,"7,1","28,6","43,8","15,6","2,4",,,,,,,,,,,,,"5,64","5,37","5,58","5,8"
QP067006,0,973.0,,"1,9","1,5","4,8",,,,6,"50,3","39,6",,,,,"71,5","21,4",,,,"67,4",,,,,,,,,,"4,89","4,64","4,83","5,1"
QP067007,0,312.0,,,,"4,9",,,,"21,2","37,2","32,1",,,,,"40,1","36,5",,,,,"38,5",,"48,4",,,,"90,4",,,"6,42","6,06","6,36","6,72"
QP067008,0,673.0,,3,"1,7","5,1",,,,,"45,3","40,6","7,4",,,,"69,5","23,8",,,,"84,7",,,,,,93,,,,"5,19","4,73","5,26","5,51"
QP067009,0,1128.0,,,,"5,4",,,"3,4","7,7","46,3","31,3","11,3","1,2","2,2","14,1","68,2","12,9",,,,"93,6",,,,,,"91,8","5,2",,,5,"4,49","4,97","5,47"
QP067010,0,781.0,,"1,5",,"6,6",,,,"12,4","52,1","33,4",,,,"45,3","51,6",,,,,"89,4",,,,"5,4","1,8","82,8","6,8","4,7","3,8","6,12","5,49","5,81","6,54"
QP067011,0,3049.0,18.0,"3,6","1,8",4,,,"4,8","6,7","39,3","33,7","15,6",,"4,8","6,9","64,6","19,3",,,,"89,4","4,7","4,9",,"0,6",,"89,3","8,7",,"1,1","5,32","4,86","5,24","5,61"
QP067012,0,553.0,,,,"5,5",,,,,"41,8","32,4","13,7",,,"31,8","41,6","20,8",,,,"45,9","44,7",,,"7,2","5,4","43,4",47,,,"5,76","5,18","5,53","6,21"
QP067013,0,2375.0,,"2,7","1,4","5,1","97,8","2,2","4,1","13,7","35,5","31,5","15,2","0,5","2,5","21,9","43,3","26,3","4,6","0,9",,"82,4",,"3,4","5,3","5,7","2,1","70,7","25,8",,,"5,72","5,31","5,6","6,06"
QP067014,0,1516.0,,"6,6","4,9","3,8",,,"11,7","12,2","25,3","37,5","13,3",4,"7,5","11,7","48,7","25,9",,,,"74,9","14,4",,,6,,"79,9","13,5",,,"5,03","4,53","4,78","5,16"
QP067015,0,1068.0,,"6,1","5,1","5,9",,,"24,1","30,4","35,1","7,3","3,1","11,8","13,8","43,2","23,9","6,2",,,"46,6",,"9,3","32,4","6,6",,"5,7","40,4","49,7","1,8","2,3","6,32","5,49","6,09","6,8"
QP067016,0,5576.0,36.0,"7,9","6,1","6,6","93,7","6,3","2,8","12,5","37,4","34,9","12,4",,"2,7","24,7","49,4","18,8","4,1",,,"77,4",,"0,3","12,9","9,1","6,7",76,"11,5","1,9","3,9","5,59","4,87","5,54","6,09"
QP067017,0,1760.0,,,,"5,8",,,"1,2","12,7","47,8","35,3",3,,"1,9","52,8","35,3","8,6",,,,"90,6",8,,,,,"98,6",,,,"5,17","4,85","5,09","5,37"
QP067018,0,991.0,,9,"7,1","8,9",,,"4,4","35,3","52,9","5,9","1,5",,"6,2","61,5","20,6","7,9",,,75,,,"14,2",,,,"83,8","11,2",,,"5,25","4,52","5,3","5,96"
QP067019,0,536.0,,"4,2",,5,,,"7,1","15,5","43,5","23,5","10,4",,,"15,5","66,8","10,6",,,,,,,,,,,,,,"5,63","5,37","5,54","5,7"
QP067020,0,680.0,,"3,1",,"5,5",,,"2,4","32,1","41,8","21,3","2,5",,,"48,8","36,9","8,8","2,5",,"60,6",10,"9,1",,,"14,6",,"67,2","23,8","5,7",,"6,13","5,41","5,98","6,7"
QP067021,0,819.0,,,,"5,4",,,,,"36,1","52,7","5,5",,,"28,3","59,8","10,4",,,,"79,1",,,,"11,1",,"79,1",15,,,"5,74","5,43","5,67","5,96"
QP068001,0,359.0,,"7,6","5,9","5,6","86,1","13,9",,"42,6","25,6",22,,,,"50,4","34,3","9,2",,,,"51,3",,,,,,,,,,"4,68","3,91","4,84","5,72"
QP068002,0,3286.0,,6,"4,4","9,3","97,7","2,3",10,"13,1",32,"34,3","10,6","5,1","4,4","14,7","45,7",28,,,,78,"5,8","9,7",,"3,3","1,6","79,9","12,3","0,9","5,3","5,3","4,71","5,18","5,79"
QP068003,0,2406.0,,"3,9","1,9","9,3",,,"0,5",21,"19,6","39,9",19,,,"21,2","22,8","43,7",,,,,,,,,,76,,,,"4,82","4,48","4,75","5,14"
QP068004,0,1311.0,,"3,1","1,2","7,2",,,"1,7","15,6","32,7","32,1","17,9",,5,"36,8","31,4","21,4","3,6",,,"79,6",,,"13,8",,,"55,9",34,,,"5,23","4,68","5,21","5,64"
QP068005,0,5021.0,,"3,8","1,9","10,8","99,4","0,6","6,1","28,1","36,3","21,5",8,"3,7","5,6",34,"32,7","18,6","4,6","0,8","15,3","18,5","19,2","24,4","21,1","1,5","6,2","22,8","57,3","6,2","7,3","6,32","5,64","6,29","6,96"
QP068006,0,1571.0,,"3,6","2,3","8,4",,,"2,2","19,4","44,2","26,1","8,1",,"3,6","41,3","40,6","9,2",3,,"45,6","46,3","6,5",,,,,"93,3",,,,"4,98","4,67","4,98","5,23"
