CodGeo,Note,nbLsPls,nbLsMes,txVac,txVac3m,txRot,txLsCol,txLsInd,txLs1p,txLs2p,txLs3p,txLs4p,txLs5pp,txLsm30,txLs30a40,txLs40a60,txLs60a80,txLs80a100,txLs100a120,txLs120p,txLsAv49,txLs49a75,txLs76a88,txLs89a00,txLs01a13,txLsAp13,txLsPlai,txLsPlusAv77,txLsPlusAp77,txLsPls,txLsPli,moyLoy,q1Loy,medLoy,q3Loy
QP093056,0,1266.0,,"2,7",1,"5,8",,,"3,9",23,"46,9","22,6","3,6",,"3,6","40,1",44,"11,4",,,,"50,8",,36,"8,8",,"2,4","13,5",43,"35,8","5,4","8,14","7,4","7,96","8,84"
QP093057,0,609.0,,,,"5,2","93,1","6,9",,,"49,3","26,3","13,5",,,"41,4","38,4","17,7",,,,"85,6",,,,,,"47,8",,45,,"6,68","5,88","6,25","7,3"
QP093058,0,2608.0,,"2,7","1,2","4,7",,,"6,5","20,2","32,8","28,2","12,2",,"6,2","19,8","49,6","17,6","3,9",,,"78,6","7,5",,,"12,8",,"54,1","26,3","15,2",,"6,13","5,16","5,84","6,86"
QP093059,0,377.0,,,,,,,"8,5","15,6","37,4","28,9","9,5",,,"17,2","30,2","38,7",8,,,,,,,,,,"92,6",,,"6,86","6,43","6,69","7,09"
QP093060,0,1232.0,,2,,"6,3",,,"3,9","12,9","43,9","30,4","8,9",,"1,9",14,"48,1","29,6","4,7",,,,"89,7",,"6,3",,,"12,7","77,2","7,5",,"6,71","6,15","6,7","7,25"
QP093061,0,1136.0,,"1,3",,"4,1",,,"1,9","7,2",42,44,"4,8",,,"6,4","56,7","33,6","1,2",,,"74,7","18,4",,,,,"90,2","6,3",,,"5,9","5,51","5,86","6,21"
QP093062,0,1138.0,,"1,6",,"3,9","98,9","1,1","2,6","21,3","35,9","33,7","6,5",,"1,6","39,8",49,"7,6",,,,"83,2",,"3,3",,"10,1","2,4","83,2",12,,,"6,07","5,54","5,83","6,48"
QP093063,0,545.0,,"2,1",,"6,7",,,,"13,2","53,4","22,8",,,,"25,1","52,3","13,4",,,,69,,,,,,"49,2","13,8","34,5",,"7,24","5,65","6,12","9,11"
QP094001,0,661.0,,"1,7",,"3,6",,,,,"56,1","25,1",,,,"37,8","44,6",,,,,,,,,,,,,,,"6,18","5,7","6,04","6,44"
QP094002,0,789.0,,"3,3",,"7,7",,,"5,4","26,5","48,9","15,5","3,7","4,6","22,6","43,6","27,5",,,,,"97,6",,,,,,,,,,"6,1","5,53","6,12","6,6"
QP094003,0,1316.0,,"2,2","1,2",4,,,"6,7","10,3","37,6","36,6","8,8","3,3","3,3","10,3","37,6","43,2",,,,"88,9",,,,,,"74,7",,,19,"5,5","4,82","5,5","6,14"
QP094004,0,1229.0,,2,,"4,7",,,16,"29,7","29,5","21,1","3,7",14,,"30,3","43,8","9,1",,,,"57,2",,,,"32,7",,"57,2","32,5",,,"6,94","5,87","6,98","7,42"
QP094005,0,2066.0,,2,,4,,,6,"28,5","31,8","24,1","9,7","2,1",,"37,5","41,6","15,4","1,7",,,"77,8","19,5",,,,,"53,9",,"23,9",,"6,59","6,05","6,61","7,13"
QP094006,0,203.0,,,,"6,5",,,"13,3","20,7",35,"24,1","6,9",,"10,3","18,7","52,7","12,8",,,,,,,,"59,6",,,"56,7",,,"6,62","5,93","6,68","7,43"
QP094007,0,642.0,,"3,2",,"16,7",,,"12,8","29,3","32,9","20,2","4,8",,"30,5",21,38,"6,2",,,,83,,,"15,3",,,"81,3","10,7",,,"6,96","5,92","6,23","6,51"
QP094008,0,513.0,,,,"5,1",,,"9,7","39,8","36,3","5,5","8,8",,"17,7","49,5","21,4","6,4",,,,"66,9",,,,,,,,,,"5,47","4,89","5,45","6,4"
QP094009,0,967.0,63.0,"3,4","1,2","9,1",,,15,23,"36,3","19,8",6,"11,1","5,3","24,9","38,4","15,9",,,"20,3",,"28,3","27,3","13,8",,"3,3","23,6","70,8",,,"7,75","6,24","7,1","8,42"
QP094010,0,415.0,,,,"5,2",,,"2,9","9,2","37,3","37,1","13,5",,"3,9","26,3","55,2","11,8",,,,"95,2",,,,,,"93,7","3,4",,,"5,73","5,45","5,69","5,91"
QP094011,0,433.0,,"3,3",,"5,9",,,"12,9","16,6","22,4","41,6","6,5",,"12,9","16,2",61,,,,,,,,,,,,,,,"5,87","5,53","5,7","5,99"
QP094012,0,1091.0,,"4,5","3,1","3,7",,,"2,2",28,"25,3","36,9","7,6",,,"29,5","34,3",32,"2,7",,,"62,8","27,3",,,,,"90,1",,,,"5,66","5,09","5,72","6,35"
QP094013,0,2960.0,,"1,6","0,5","4,8",,,"1,9","23,4","28,9","38,4","7,4",,,"26,5","45,2","26,2",1,,"8,6","90,3",,,,,,"90,8",,,"8,1","5,51","4,87","5,36","6,12"
QP094014,0,850.0,,2,,"6,6",,,,"23,1","34,9",38,,,,"22,2","48,7","24,2",,,,"62,7",,,"16,6","16,2",,"62,7","18,6",,,"7,11","5,38","6,36","7,89"
QP094015,0,888.0,,3,,6,,,"4,1","30,7",48,"12,6","4,6","21,3",23,"34,7","15,8",,,,"47,1","32,1",,,"10,7",,,"65,7","28,3","4,7",,"7,29","5,85","7,16","8,58"
QP094016,0,1148.0,,"1,6",,"6,1",,,"4,4","23,2","45,6","21,8",5,,"14,9","37,9","40,4","3,8",,,,79,,,"14,6",,,,"92,2",,"4,6","7,27","6,25","6,57","7,14"
