code_qpv,iris_controle,distance_pauvrete
QP013061,130470111,18.45045763902248
QP013062,130630105,0.7505620542411826
QP013062,130630102,6.585341358951915
QP013062,130630103,8.60103931824709
QP013062,130630106,13.000445213738413
QP013062,130630109,19.66242499076035
QP013063,130630103,2.2989606817529094
QP013063,130630102,4.314658641048084
QP013063,130630105,11.650562054241181
QP013063,130630106,23.90044521373841
QP013063,130630109,30.56242499076035
QP014001,141180904,4.878616822707514
QP014001,141181901,5.090375801260706
QP014001,141180902,6.57553311602085
QP014001,141181903,8.649913699431082
QP014001,141181801,9.750903685448598
QP014004,141181901,0.5570424679273742
QP014004,141180902,2.0421997826875185
QP014004,141181801,5.217570352115267
QP014004,141180904,9.411950156040845
QP014004,141181903,13.183247032764413
QP014005,141180904,0.1547165106258248
QP014005,141181903,3.616580366097743
QP014005,141181501,8.264462488353423
QP014005,141181901,10.123709134594044
QP014005,141182004,11.236810308839178
QP014007,143270301,1.579148311306902
QP014007,143270302,3.4932186437970643
QP014007,143270602,4.423236670776461
QP014007,143270401,7.0892584976412
QP014007,143270501,8.029922027820998
QP014009,143660302,1.5668798285146224
QP014009,143660303,11.722744035640005
QP014009,143660301,22.174150762560863
QP014009,143660201,22.738708030226828
QP014009,143660701,23.919466370100928
QP015001,150140111,11.043800822491132
QP015001,150140102,13.975701610632047
QP015001,150140105,21.2105643377234
QP015001,150140104,26.3808313804511
QP015001,150140108,29.914077535906053
QP016001,160150703,2.6229675625568163
QP016001,160150704,21.868886388884007
QP016001,160150403,25.80160416289067
QP016001,160150502,28.199450792952646
QP016001,160150101,28.291062525770016
QP016002,160150703,4.710365770776505
QP016002,160150704,14.535553055550686
QP016002,160150403,18.468270829557348
QP016002,160150502,20.866117459619325
QP016002,160150101,20.957729192436695
QP016003,160150703,4.577032437443172
QP016003,160150704,14.668886388884019
QP016003,160150403,18.60160416289068
QP016003,160150502,20.999450792952658
QP016003,160150101,21.091062525770027
QP016005,163740103,1.558752124302039
QP016005,163740105,38.94245034697293
QP016005,163740102,43.443661971830984
QP016005,163740104,
QP016006,161020201,32.31251719691886
QP016006,161020302,34.998392353654296
QP016006,161020301,36.4583040694057
QP016006,161020202,37.00998034998215
QP016006,161020102,42.365002233927115
QP017001,173000502,10.155196023586015
QP017001,173000402,16.51946637360183
QP017001,173000103,21.327342968725414
QP017001,173001001,22.109247520452374
QP017001,173000102,22.51591917172126
QP017002,173000502,5.588529356919345
QP017002,173000402,21.0861330402685
QP017002,173000103,25.894009635392084
QP017002,173001001,26.675914187119044
QP017002,173000102,27.08258583838793
QP017003,174150101,34.791555070843884
QP017003,174150301,35.458292512103384
QP017003,174150202,35.82225517998154
QP017003,174150201,39.38913844724525
QP017003,174150402,39.80114101057672
QP017004,172990102,3.723264826136642
QP017004,172990101,13.37467881114831
QP017004,172990301,14.461444790721497
QP017004,172990401,17.1294168389482
QP017004,172990201,20.313005036589143
QP017005,172990102,15.389931492803314
QP017005,172990101,25.041345477814982
QP017005,172990301,26.12811145738817
QP017005,172990401,28.79608350561487
QP017005,172990201,31.979671703255814
QP017006,173060104,20.44449570598371
QP017006,173060105,22.660889265334617
QP017006,173060103,23.56128006297365
QP017006,173060107,24.56490742230057
QP017006,173060102,24.723650777769784
QP017007,173000402,12.952799706935174
QP017007,173000502,13.72186269025267
QP017007,173000103,17.76067630205876
QP017007,173001001,18.54258085378572
QP017007,173000102,18.949252505054606
QP018001,180331002,3.9946890413384395
QP018001,180330402,6.138068353104153
QP018001,180331102,7.77308103427994
QP018001,180331004,10.691349815162958
QP018001,180330401,12.814218305871854
QP018002,180330402,4.171401686437484
QP018002,180331002,5.961355708005108
QP018002,180331004,8.72468314849629
QP018002,180331102,9.739747700946609
QP018002,180330401,10.847551639205186
QP018003,181970101,14.035009930640761
QP018003,181970102,23.94521221964472
QP018003,181970103,28.44655173458961
QP018003,181970104,32.66418264245812
QP018004,182790901,2.637640516606801
QP018004,182790102,11.074099667694888
QP018004,182791001,19.254674801683795
QP018004,182790101,22.64715409730203
QP018004,182790801,23.55975768707938
QP019001,190310406,1.1703905726544193
QP019001,190310403,17.639224451795904
QP019001,190310101,17.772165771554153
QP019001,190310203,24.06449012535241
QP019001,190310701,25.184494624304147
QP019002,190310406,3.003723905987755
QP019002,190310403,19.47255778512924
QP019002,190310101,19.60549910488749
QP019002,190310203,25.897823458685746
QP019002,190310701,27.017827957637483
QP019003,190310406,1.1962760940122479
QP019003,190310403,15.272557785129237
QP019003,190310101,15.405499104887486
QP019003,190310203,21.697823458685743
QP019003,190310701,22.81782795763748
QP021002,211660103,0.7182823372778842
QP021002,211660104,4.280757378712927
QP021002,211660101,5.83602808825686
QP021002,211660107,12.84554997917262
QP021002,211660102,13.067867376377077
QP021003,212311802,1.4345537022319803
QP021003,212311202,4.996490048049694
QP021003,212311203,9.167477108725073
QP021003,212310101,16.97584427626991
QP021003,212311801,19.010900545039817
QP021004,212311202,1.1368432852836463
QP021004,212311203,3.0341437753917333
QP021004,212311802,7.56788703556532
QP021004,212310101,23.10917760960325
QP021004,212311801,25.144233878373157
QP021006,216170104,6.145990283825348
QP021006,216170105,11.196519128474602
QP021006,216170103,14.501549583929123
QP021006,216170101,
QP021006,216170102,
QP022001,221130103,21.720843953554233
QP022001,221130102,22.8046308206988
QP022001,221130104,27.39764265789558
QP022001,221130106,32.69984628650625
QP022001,221130101,33.76310432569974
QP022002,221130103,21.887510620220898
QP022002,221130102,22.971297487365465
QP022002,221130104,27.564309324562245
QP022002,221130106,32.866512953172915
QP022002,221130101,33.92977099236641
QP022004,222780116,0.14513618677040085
QP022004,222780112,2.609247390957414
QP022004,222780119,7.062639874536792
QP022004,222780118,14.97654361392457
QP022004,222780105,19.89057740304038
QP022005,222780112,3.590752609042582
QP022005,222780116,6.054863813229595
QP022005,222780119,13.262639874536788
QP022005,222780118,21.176543613924565
QP022005,222780105,26.090577403040374
QP022006,222780116,2.078469520103745
QP022006,222780112,4.542580724290758
QP022006,222780119,5.129306541203448
QP022006,222780118,13.043210280591225
QP022006,222780105,17.957244069707034
QP022007,220500103,15.220564730953601
QP022007,220500106,26.356301682139517
QP022007,220500104,34.54003347214255
QP022007,220500107,38.50889866826736
QP023001,230960102,13.223628705327954
QP023001,230960201,19.054106878957118
QP023001,230960202,28.02186846025115
QP023001,230960101,29.4839271214774
QP023001,230960103,33.618582847751384
QP024001,240370110,1.8338414843331208
QP024001,240370103,11.90548774462977
QP024001,240370112,12.058687702630547
QP024001,240370108,12.820048528965721
QP024001,240370113,14.752986296387949
QP024002,240370110,1.9005081509997908
QP024002,240370103,11.97215441129644
QP024002,240370112,12.125354369297217
QP024002,240370108,12.88671519563239
QP024002,240370113,14.819652963054619
QP024003,240370110,1.4671748176664536
QP024003,240370103,11.538821077963103
QP024003,240370112,11.69202103596388
QP024003,240370108,12.453381862299054
QP024003,240370113,14.386319629721282
QP025001,254620108,15.505074762394619
QP025001,254620107,16.017940366769345
QP025001,254620106,17.277017968681264
QP025001,254620105,19.102446378740726
QP025001,254620101,20.580189338462475
QP025003,250561204,0.061887646053953915
QP025003,250561207,1.6464708100797694
QP025003,250561202,3.6899227583849807
QP025003,250561205,4.633187347489411
QP025003,250561201,5.74272965844353
QP025004,250561207,0.046470810079767944
QP025004,250561204,1.5381123539460475
QP025004,250561202,2.0899227583849793
QP025004,250561205,3.0331873474894095
QP025004,250561201,7.342729658443531
QP025005,250561003,0.28523837357406734
QP025005,250561201,0.29060367488980177
QP025005,250561204,6.095220979387285
QP025005,250561207,7.679804143413101
QP025005,250561206,8.725455405277373
QP025006,250561204,1.3618876460539582
QP025006,250561207,2.9464708100797736
QP025006,250561201,4.442729658443525
QP025006,250561202,4.989922758384985
QP025006,250561003,5.0185717069073945
QP025007,250310102,17.86338053966136
QP025007,250310103,18.002446740756746
QP025007,250310101,20.83644325418148
QP025007,250310107,27.77991216696227
QP025007,250310104,32.05821062116629
QP025010,253880116,21.74428281654495
QP025010,253880101,28.51640660981587
QP025010,253880103,29.970513680875996
QP025010,253880115,31.1872549483881
QP025010,253880106,
QP025011,253880116,20.84428281654495
QP025011,253880101,27.616406609815872
QP025011,253880103,29.070513680875997
QP025011,253880115,30.287254948388103
QP025011,253880106,
QP025013,255800101,29.243479747405082
QP025013,255800105,29.82184447673145
QP025013,255800104,30.376767653155184
QP025013,255800103,
QP026001,262810101,8.950040448582193
QP026001,262810102,10.075493796816339
QP026001,262810501,18.11375292229171
QP026001,262810202,19.11441476267924
QP026001,262810302,21.270732071620305
QP026002,261980502,17.972578091534835
QP026002,261980501,31.722056106774456
QP026002,261980101,38.87801517181449
QP026002,261980401,39.99051106622329
QP026002,261980301,41.20839959477026
QP026003,261980502,1.9392447582014896
QP026003,261980501,15.68872277344111
QP026003,261980101,22.844681838481144
QP026003,261980401,23.957177732889946
QP026003,261980301,25.175066261436918
QP026004,261980502,3.039244758201498
QP026004,261980501,16.78872277344112
QP026004,261980101,23.944681838481152
QP026004,261980401,25.057177732889954
QP026004,261980301,26.275066261436926
QP026005,262810501,1.0195804110416091
QP026005,262810101,28.083373781915512
QP026005,262810102,29.208827130149658
QP026005,262810202,38.24774809601256
QP026005,262810302,40.40406540495363
QP026006,263620803,2.5354866475730446
QP026006,263620802,4.389308846988662
QP026006,263620701,16.0008998675971
QP026006,263620702,16.487626106180016
QP026006,263620801,18.964286950983237
QP026007,263620803,0.4978466857602939
QP026007,263620802,1.3559755136553235
QP026007,263620701,12.96756653426376
QP026007,263620702,13.454292772846678
QP026007,263620801,15.930953617649898
QP026008,263620701,5.03423320093043
QP026008,263620702,5.520959439513348
QP026008,263620802,6.5773578196780065
QP026008,263620801,7.997620284316568
QP026008,263620803,8.431180019093624
QP026009,263620701,0.30089986759709575
QP026009,263620702,0.7876261061800136
QP026009,263620801,3.2642869509832337
QP026009,263620504,4.207255671256114
QP026009,263620802,11.31069115301134
QP026010,262350102,1.1808787346076954
QP026010,262350101,22.166049872123136
QP026010,262350105,30.364120535202233
QP026010,262350103,30.468648637674157
QP026010,262350106,
QP027001,276810106,7.2986238589002
QP027001,276810105,11.966384454926505
QP027001,276810110,23.28772166081887
QP027001,276810103,24.013896608936424
QP027001,276810104,28.274722652601348
QP027002,276810105,5.899717788259842
QP027002,276810106,13.365290525566863
QP027002,276810110,29.354388327485534
QP027002,276810103,30.080563275603087
QP027002,276810104,34.34138931926801
QP027003,272290602,1.303296548863912
QP027003,272290701,3.6031832205676295
QP027003,272290601,4.801815862961462
QP027003,272290501,6.357933122909003
QP027003,272290402,14.412647223095782
QP027004,272290602,1.4366298821972379
QP027004,272290701,3.4698498872343038
QP027004,272290601,4.668482529628136
QP027004,272290501,6.491266456242329
QP027004,272290402,14.545980556429107
QP027005,272290402,1.8126472230957802
QP027005,272290501,6.242066877090998
QP027005,272290801,9.391251093920502
QP027005,272290401,9.686519332133265
QP027005,272290602,11.29670345113609
QP027006,273750107,11.476655343280477
QP027006,273750108,24.070844454693006
QP027006,273750103,25.364215300833155
QP027006,273750101,26.19244343742797
QP027006,273750105,26.463522057609126
QP027007,273750107,11.943322009947153
QP027007,273750108,24.53751112135968
QP027007,273750103,25.83088196749983
QP027007,273750101,26.659110104094644
QP027007,273750105,26.9301887242758
QP027008,277010103,1.9846225652965828
QP027008,277010102,4.675391318400408
QP027008,277010101,17.485862027800156
QP027008,277010104,25.66513167467228
QP027009,270560101,17.3478384689837
QP027009,270560104,23.19118428568624
QP027009,270560105,26.458830138780176
QP027009,270560102,
QP027009,270560103,
QP028001,284040101,11.730012002488401
QP028001,284040102,20.41288742218605
QP028001,284040104,25.357584719789344
QP028001,284040103,25.667695901029226
QP028001,284040105,
QP028002,280850101,4.1694622177187455
QP028002,280850701,15.70048760152838
QP028002,280850703,21.110574640750553
QP028002,280850502,27.66005412414164
QP028002,280850302,29.79381886390558
QP028003,282180201,29.289260684640876
QP028003,282180102,29.641638231233507
QP028003,282180401,33.32038438517508
QP028003,282180302,
QP028004,282180201,20.989260684640872
QP028004,282180102,21.341638231233503
QP028004,282180401,25.020384385175078
QP028004,282180302,
QP028005,282290101,40.48834356613381
QP028005,282290102,
QP028005,282290301,
QP028007,281340504,2.5388972671547876
QP028007,281340202,5.080512593019563
QP028007,281340204,8.110592095687139
QP028007,281340503,11.230182826102457
QP028007,281340401,14.571610383189189
QP028008,281340503,4.303150507230875
QP028008,281340502,8.916235835097602
QP028008,281340202,10.452820740313769
QP028008,281340504,12.994436066178544
QP028008,281340204,23.64392542902047
QP028009,280880201,6.165877309457869
QP028009,280880202,22.944286391654817
QP028009,280880103,32.049680352029526
QP028009,280880102,35.24629833643041
QP028009,280880101,39.10681728101467
QP028010,282800104,15.229851735566449
QP028010,282800101,33.24748987958563
QP028010,282800103,33.55453997490027
QP028010,282800102,
QP028010,282800105,
QP029001,290390104,31.28036426748269
