IRIS,pop_2013,pop_2018,evol_pop_pct
190310406,1612.2436718916028,1442.09323486606,-10.55364272733723
190310701,2802.621471639184,3037.1470722016,8.368079775869553
210540102,2285.952558367546,2091.19955403775,-8.519555824416303
210540104,1914.219988591336,1865.25918340892,-2.557741820387416
210540105,2552.2881939433,2326.49419171958,-8.846728310679797
210540108,1987.7576431562068,2132.84212738671,7.298902093523596
210540110,1488.3678724155498,1648.90253210858,10.78595303407688
211660101,2270.697502638588,2232.69366408719,-1.6736636433182794
211660102,1675.671636877027,1883.98539440459,12.431657428766908
211660103,1824.038845287852,1850.56827235512,1.4544332285358452
211660104,993.0155163625748,1100.95004669845,10.869369970294173
211660107,1783.6636287301046,1751.43043839366,-1.8071339134382192
212310101,3293.6831695390606,3810.24874119591,15.683523431585588
212311202,2845.352426912269,2775.76070792653,-2.4458031394465563
212311203,2881.851015000116,2589.13113571506,-10.157356426874298
212311801,2578.027706948428,2585.84730242465,0.3033169680506598
212311802,1861.6748753715656,1905.15730226084,2.3356616917653783
216170101,1996.4770791751343,1988.23421666922,-0.4128703801257849
216170102,2354.6333456287507,2362.20123487855,0.3214041482869856
216170103,948.6261599732876,1428.0217787213,50.53577889539878
216170104,1951.4774221127527,2006.22049337501,2.8052116125940163
216170105,1481.8376123305409,1475.00516107913,-0.46107962131324287
220500103,1651.781509242763,1528.78611405788,-7.446226664764433
220500104,2504.2053532772497,2813.23299497484,12.340347459650868
220500106,2093.471053511192,2146.29510140829,2.523275772478484
220500107,2651.647456670723,2651.29592996959,-0.013256916949822006
221130101,2892.2908137315726,2916.12909227295,0.8242006104020261
221130102,4351.875476817046,4346.02736237701,-0.13438147463522565
221130103,2867.710191715496,2951.35605086823,2.9168170268522253
221130104,2154.540556842903,2057.91470376894,-4.484754430222971
221130106,2634.823186795941,2608.62761589722,-0.9942060260436758
222150101,2971.330798127585,3092.5681028175,4.080235858165437
222150102,2373.8632906081903,2341.16607505794,-1.3773841012501231
222150103,2902.730517489111,2814.06855305636,-3.054433193111039
222150105,2910.5470192680814,2855.9408642553,-1.8761474956866864
222780105,2528.806937985817,2629.62882762756,3.98693502960914
222780112,2216.9558210794544,1937.3564404382,-12.611860731853241
222780116,1432.330009314628,1593.06135753508,11.22167008826147
222780118,1796.740425795642,1958.60831259688,9.008974500563083
222780119,2538.1125954526647,2609.00635930964,2.7931685924410976
230960101,2491.563969755171,2397.78360455647,-3.7639156103190907
230960102,2873.2648380293926,2681.73421885653,-6.665957716039239
230960103,2533.711704627169,2552.7688757239,0.7521444157173596
230960201,2257.798421346825,2393.96354255073,6.030880344166412
230960202,2986.6610662414446,2862.74975831236,-4.1488238933325094
240370103,2182.5054933834444,2168.30738816223,-0.6505415571350426
240370108,2191.085015878805,2192.5625821913,0.0674353711420217
240370110,2451.053281105944,2281.30446916274,-6.925545570621416
240370112,2205.703593371876,2019.86253189942,-8.425477567834017
240370113,2337.8231393125,2177.10037065737,-6.874889975740206
250310101,2282.9663654528053,1866.02780154645,-18.263018247474683
250310102,1858.3381117597355,1755.7978912558,-5.517845211000704
250310103,1554.294011560795,1299.56302165376,-16.388854876384595
250310104,3023.142283021489,2841.1893466079,-6.018669297686374
250310107,1558.1303294823597,1680.18706291199,7.833538127082096
250561003,1849.816883384931,2084.70723679209,12.698032735939746
250561201,1434.1487535328947,1646.11483786296,14.77992319889454
250561202,1903.14900373546,1784.00760223832,-6.260224567981365
250561203,2440.5417582602354,2307.44778552338,-5.453460170734092
250561204,2879.3842689241524,2958.76540660818,2.756878911257221
250561205,2278.16038200014,2632.31127104906,15.545476598007934
250561206,1987.5761645339128,1983.04649275653,-0.22789928045072738
250561207,2609.4891709877165,2234.91228831706,-14.354414144929207
253880101,3591.559458058179,3529.91320498182,-1.7164202290469444
253880103,3874.829490834695,4395.43177164879,13.435488762679725
253880106,1447.3854189968113,1627.62495849066,12.452767392031184
253880115,1735.4494098691505,1808.03902806624,4.182756223505391
253880116,2011.3608946362556,1897.12527736008,-5.679518657283755
254620101,2321.53234617895,2199.54913640393,-5.254426455689676
254620105,3114.2032450339016,3025.27838783167,-2.855460938332677
254620106,1857.872327608864,2015.07113264454,8.46122753967682
254620107,1762.0444979325152,1654.84700156239,-6.083699730393011
254620108,1705.127645508543,1679.05891816804,-1.5288431578228456
255800101,2020.533163229373,2008.72812699087,-0.5842535254227399
255800103,1363.0541866255362,1314.92657877697,-3.530865340556555
255800104,1965.9513668140655,2010.16063562255,2.2487468181946024
255800105,1902.727387627091,2255.67223836148,18.54941769532996
261980101,3173.970107598904,3479.81777209204,9.636123029668608
261980301,3078.8648072435126,3218.61331931579,4.538962274130931
261980401,2970.817695933012,3162.73301869909,6.460016817215197
261980501,3419.3159206150685,3722.21233268289,8.858392119945924
261980502,2495.0400241866337,2978.56154825671,19.379309325015793
262350101,2071.2533523277025,2073.6526410648,0.11583753066233271
262350102,3036.200130873105,2587.41833303003,-14.781034796741832
262350103,4178.50866490823,4808.56317213258,15.07845400718315
262350105,1875.6137299676325,2002.55764674491,6.76812686690389
262350106,1716.1384887670536,1930.67241616316,12.500968237722866
262810101,2911.096189339973,2705.34761009887,-7.067735514701489
262810102,3039.499206537449,2916.79732306073,-4.0369111863167495
262810202,1927.322385831303,2229.19393878828,15.662743045801953
262810302,3619.726148945661,3909.01282501043,7.991949229336903
262810501,2665.6069869128232,2317.48355433452,-13.059818431129012
263620504,2278.9162141612046,2228.11933640491,-2.228992774751537
263620701,2653.791843210755,2574.27259187893,-2.9964389081705955
263620702,3493.808916353096,2687.54540146551,-23.076920752986652
263620801,2269.6181378208503,2935.33813249476,29.33180624442373
263620802,1885.979796862459,2049.45001705798,8.667654895745569
263620803,1655.0177212801914,1806.28116996206,9.139687553608988
270560101,2249.6828853699767,2226.34096537895,-1.0375649004943255
270560102,1746.7114477349585,1553.9511403165,-11.035612531676009
270560103,2131.884950668483,2113.34047574602,-0.8698628374222639
270560104,1882.8657984784363,1766.11947093479,-6.200459301878569
270560105,2263.854917748148,2291.24794762374,1.2100170227710372
272290401,1680.0804607502323,1667.18468524723,-0.7675689232909622
272290402,2086.6739424957336,1694.32859607797,-18.80242707916816
272290501,2405.298634966152,2209.74174089825,-8.13025423226309
272290601,2327.418774827991,2070.78168678747,-11.02668289936296
272290602,1970.3208375415431,1960.53693782757,-0.49656378431144343
272290701,2314.9595069466723,2126.95193672716,-8.12141938791343
272290801,1845.9321289770423,1681.36746757744,-8.914989820931218
273750101,2242.7265153821213,2269.23700135193,1.1820650350357953
273750103,2392.3046085079773,2342.89636381244,-2.065299064334114
273750105,2052.1557411295425,2039.85114745729,-0.599593560354239
273750107,1603.6933951324734,1520.501374804,-5.187526529757969
273750108,1720.779096790339,1961.16638400631,13.969677320252805
276810103,1914.7632780262732,1662.97407458886,-13.14988679420236
276810104,2483.6437246123346,2835.68785540583,14.174502055380135
