code,nom_qp,insee_com,lib_com
QP087003,Le Sablard,87085,Limoges
QP087004,Beaubreuil,87085,Limoges
QP087005,Val De L'Aurence Sud,87085,Limoges
QP087006,Val De L'Aurence Nord,87085,Limoges
QP087007,Les Coutures,87085,Limoges
QP087008,Bellevue,87085,Limoges
QP087009,Le Vigenal,87085,Limoges
QP088001,Bitola,88160,Épinal
QP088002,La Justice,88160,Épinal
QP088003,Le Haut Du Gras,88209,Golbey
QP088004,Le Rhumont,88383,Remiremont
QP088005,Saint Roch - L'Orme,88413,Saint-Dié-des-Vosges
QP088006,Kellermann,88413,Saint-Dié-des-Vosges
QP089001,La Rive Droite,89024,Auxerre
QP089002,Les Brichères - Sainte Geneviève,89024,Auxerre
QP089003,Les Rosoirs,89024,Auxerre
QP089005,La Madeleine,89206,Joigny
QP089004,Pompidou-Ravel,89257,Migennes
QP089006,Arènes - Champs Plaisants,89387,Sens
QP089007,Les Chaillots,89387,Sens
QP090001,Bougenel - Mulhouse,90010,Belfort
QP090002,Les Glacis Du Château,90010,Belfort
QP090003,Dardel La Méchelle,90010,Belfort
QP090004,Résidences Le Mont,90008; 90010,Bavilliers; Belfort
QP090005,Arsot Ganghoffer,90075; 90099,Offemont; Valdoie
QP091035,Quartier Sud,91021,Arpajon
QP091036,Le Tiec,91207,Égly
QP091028,Le Noyer Renard,91027,Athis-Mons
QP091029,Clos Nollet,91027,Athis-Mons
QP091030,Grand Vaux,91589,Savigny-sur-Orge
QP091001,Le Bois Des Roches,91570,Saint-Michel-sur-Orge
QP091007,Les Ardrets,91103,Brétigny-sur-Orge
QP091008,Les Aunettes,91235,Fleury-Mérogis
QP091009,La Grange Aux Cerfs,91549,Sainte-Geneviève-des-Bois
QP091010,Les Aunettes,91549,Sainte-Geneviève-des-Bois
QP091011,Les Hautes Mardelles,91114,Brunoy
QP091012,Plaine - Cinéastes,91215,Épinay-sous-Sénart
QP091013,Le Vieillet,91514,Quincy-sous-Sénart
QP091002,Les Tarterêts,91174,Corbeil-Essonnes
QP091003,Montconseil,91174,Corbeil-Essonnes
QP091004,La Nacelle,91174,Corbeil-Essonnes
QP091005,Rive Droite,91174,Corbeil-Essonnes
QP091016,Le Canal,91228,Évry-Courcouronnes
QP091017,Pyramides - Bois Sauvage,91228,Évry-Courcouronnes
QP091018,Les Aunettes,91228,Évry-Courcouronnes
QP091019,Champtier Du Coq,91228,Évry-Courcouronnes
QP091020,Petit Bourg,91228,Évry-Courcouronnes
QP091021,Le Parc Aux Lièvres,91228,Évry-Courcouronnes
QP091022,Les Passages,91228,Évry-Courcouronnes
QP091023,Les Epinettes,91228,Évry-Courcouronnes
QP091024,Champs Elysées,91228,Évry-Courcouronnes
QP091025,Le Plateau,91521,Ris-Orangis
QP091031,Les Bergeries,91201; 91657,Draveil; Vigneux-sur-Seine
QP091032,La Forêt,91421,Montgeron
QP091033,La Croix Blanche,91657,Vigneux-sur-Seine
QP091034,La Prairie De L'Oly,91421; 91657,Montgeron; Vigneux-sur-Seine
QP091037,Plateau De Guinette,91223,Étampes
QP091038,La Croix  De Vernailles,91223,Étampes
QP091026,La Grande Borne - Le Plateau,91687,Viry-Châtillon
QP091027,Grigny 2,91286,Grigny
QP091014,Bel Air - Rocade,91345,Longjumeau
QP091015,Bièvre Poterne - Zola,91377,Massy
QP091039,Opéra,91377,Massy
QP091006,Quartier Ouest,91692,Les Ulis
QP092004,Noyer Doré,92002,Antony
QP092005,Cité Jardins,92019,Châtenay-Malabry
QP092008,Abbé Grégoire - Mirabeau,92007,Bagneux
QP092009,Tertres-Cuverons,92007; 92014; 92032; 92071,Bagneux; Bourg-la-Reine; Fontenay-aux-Roses; Sceaux
QP092020,Cité Des Musiciens,92007,Bagneux
QP092002,Université I,92050,Nanterre
QP092003,Université II,92050,Nanterre
QP092006,Chemin De L'île,92050,Nanterre
QP092007,Le Parc,92050,Nanterre
QP092016,Petit Nanterre,92050,Nanterre
QP092012,Hauts d'Asnières,92004,Asnières-sur-Seine
QP092001,Bac D'Asnières - Beaujon,,
QP092014,Entrée De Ville,,
QP092011,Fossés Jean,92025,Colombes
QP092015,Petit Colombes,92025,Colombes
QP092021,Les Musiciens,92025,Colombes
QP092010,Les Courtilles,92036,Gennevilliers
QP092013,Agnettes,92036,Gennevilliers
QP092017,Grésillons Voltaire I - Gabriel Péri,,
QP092018,Grésillons Voltaire II - Grésillons,92036,Gennevilliers
QP092019,AIRE 2029,92078,Villeneuve-la-Garenne
QP093028,Franc Moisin - Cosmonautes - Cristino Garcia - Landy,93001; 93008; 93027; 93066,Aubervilliers; Bobigny; La Courneuve; Saint-Denis
QP093029,Centre Ville,93031,Épinay-sur-Seine
QP093030,Orgemont,93031,Épinay-sur-Seine
QP093031,La Source - Les Presles,93031,Épinay-sur-Seine
QP093032,Thorez-Géraux,93039,L'Île-Saint-Denis
QP093033,Méchin - Bocage,93039,L'Île-Saint-Denis
QP093034,Paul-Cachin,93039,L'Île-Saint-Denis
QP093035,Centre Ville - Chatenay - Maroc - Poètes,93059; 93072,Pierrefitte-sur-Seine; Stains
QP093036,Joncherolles - Fauvettes,93059,Pierrefitte-sur-Seine
QP093037,Plaine - Landy - Bailly,93066,Saint-Denis
QP093038,Pleyel,,
QP093039,Grand Centre - Sémard,93066,Saint-Denis
QP093040,Floréal Saussaie Allende,93066; 93072,Saint-Denis; Stains
QP093041,Plaine Trezel - Chaudron,93066,Saint-Denis
