code,pop_2013,pop_2018,evol_pop_pct
QP045015,1384.0,1391.0,0.5057803468208055
QP045016,1676.0,1360.0,-18.85441527446301
QP045017,1515.0,1430.0,-5.610561056105611
QP045018,1450.0,1438.0,-0.8275862068965467
QP045019,1157.0,1149.0,-0.691443388072599
QP046001,1036.0,1372.0,32.432432432432435
QP047001,1963.0,2158.0,9.933774834437092
QP047002,1860.0,1627.0,-12.526881720430104
QP047003,1482.0,1360.0,-8.232118758434549
QP047004,1118.0,1176.0,5.187835420393561
QP047005,2520.0,2312.0,-8.253968253968258
QP047006,1697.0,1530.0,-9.840895698291096
QP047007,1084.0,1188.0,9.594095940959413
QP049001,6236.0,6013.0,-3.5760102629890933
QP049002,8904.0,9589.0,7.693171608265947
QP049003,1375.0,1079.0,-21.527272727272727
QP049004,2642.0,2517.0,-4.731264193792583
QP049005,7402.0,7212.0,-2.566873817887061
QP049006,1450.0,1236.0,-14.758620689655178
QP049007,2286.0,2587.0,13.167104111986006
QP049008,2169.0,1959.0,-9.681881051175656
QP049009,1510.0,1785.0,18.21192052980132
QP049010,1970.0,2136.0,8.426395939086294
QP049011,1973.0,1966.0,-0.3547896604156109
QP049012,2086.0,2181.0,4.554170661553214
QP049013,3486.0,3591.0,3.0120481927710774
QP050001,1222.0,1162.0,-4.909983633387894
QP050002,1853.0,1928.0,4.04749055585536
QP050003,1601.0,1436.0,-10.30605871330419
QP050004,1467.0,1318.0,-10.156782549420583
QP050005,6672.0,6288.0,-5.755395683453235
QP050006,1754.0,1510.0,-13.91106043329533
QP050007,1429.0,1335.0,-6.57802659202239
QP051001,3622.0,3619.0,-0.0828271673108727
QP051002,3157.0,2829.0,-10.389610389610393
QP051003,11833.0,12005.0,1.453562072171044
QP051004,11836.0,12297.0,3.8948969246366927
QP051005,4789.0,4691.0,-2.0463562330340412
QP051006,2515.0,2540.0,0.994035785288272
QP051007,1191.0,907.0,-23.845507976490342
QP051008,1237.0,1269.0,2.5869037995149613
QP051009,1651.0,1596.0,-3.331314354936399
QP051010,1917.0,1475.0,-23.05685967657799
QP051011,1455.0,1113.0,-23.505154639175263
QP051012,3183.0,3413.0,7.225887527489783
QP052001,1799.0,1756.0,-2.3902167871039492
QP052002,1289.0,1038.0,-19.472459270752516
QP052003,1147.0,1027.0,-10.462074978204006
QP052004,7470.0,6360.0,-14.859437751004013
QP053001,1196.0,1234.0,3.177257525083621
QP053002,2214.0,1952.0,-11.833785004516717
QP053003,3274.0,3170.0,-3.176542455711673
QP054001,979.0,960.0,-1.9407558733401387
QP054002,1412.0,1404.0,-0.5665722379603388
QP054003,1458.0,1344.0,-7.818930041152261
QP054004,1420.0,1348.0,-5.0704225352112715
QP054005,2768.0,3203.0,15.715317919075144
QP054006,1073.0,982.0,-8.48089468779124
QP054007,1161.0,982.0,-15.417743324720067
QP054008,1508.0,1294.0,-14.190981432360738
QP054009,2275.0,2269.0,-0.26373626373625836
QP054010,1038.0,1003.0,-3.3718689788053924
QP054011,1876.0,1679.0,-10.501066098081024
QP054012,1810.0,1813.0,0.16574585635358297
QP054013,2669.0,2708.0,1.4612214312476501
QP054014,3602.0,3541.0,-1.6935036091060507
QP054015,5648.0,5509.0,-2.461048158640222
QP054016,15045.0,15684.0,4.247258225324035
QP054017,2579.0,2339.0,-9.305932531989146
QP054018,1799.0,1427.0,-20.678154530294613
QP055001,2326.0,1980.0,-14.875322441960448
QP055002,1609.0,1389.0,-13.673088875077688
QP055003,2199.0,2082.0,-5.320600272851294
QP056001,1490.0,1435.0,-3.691275167785235
QP056002,1147.0,1017.0,-11.333914559721014
QP056003,1907.0,2231.0,16.990036706869425
QP056004,1767.0,1772.0,0.28296547821164975
QP056005,1654.0,1728.0,4.474002418379697
QP056006,2167.0,2506.0,15.643747115828344
QP056007,1214.0,1304.0,7.413509060955525
QP056008,3439.0,3168.0,-7.880197731898808
QP056009,2850.0,3062.0,7.438596491228067
QP057001,1617.0,1385.0,-14.347557204700056
QP057002,5870.0,5013.0,-14.599659284497445
QP057003,3211.0,3476.0,8.252880722516354
QP057004,1420.0,1382.0,-2.6760563380281654
QP057005,3595.0,3377.0,-6.063977746870652
QP057006,1816.0,1919.0,5.6718061674008835
QP057007,2203.0,1997.0,-9.350885156604626
QP057008,1371.0,1186.0,-13.49380014587892
QP057009,1983.0,1967.0,-0.8068582955118475
QP057010,1129.0,1158.0,2.5686448184233823
QP057011,2482.0,2120.0,-14.585012087026595
QP057012,2675.0,2399.0,-10.317757009345796
QP057013,1224.0,1040.0,-15.032679738562093
QP057014,1474.0,1397.0,-5.223880597014929
QP057015,3457.0,3171.0,-8.273069135088228
QP057016,1078.0,1093.0,1.3914656771799594
QP057017,1546.0,1299.0,-15.976714100905564
QP057018,3019.0,3062.0,1.4243126863199729
QP057019,1258.0,1139.0,-9.459459459459463
QP057020,11013.0,10660.0,-3.205302823935352
QP057021,1408.0,1242.0,-11.78977272727273
QP057022,3337.0,3021.0,-9.469583458195984
QP057023,8782.0,8662.0,-1.3664313368253245
QP057024,830.0,985.0,18.67469879518073
QP058001,2531.0,2226.0,-12.050572896088507
QP058002,2102.0,2112.0,0.4757373929590969
QP058003,1907.0,1637.0,-14.158363922391192
QP058004,1601.0,1189.0,-25.733916302311055
QP058005,1492.0,1163.0,-22.050938337801608
QP059001,1065.0,1035.0,-2.8169014084507005
QP059002,1331.0,1376.0,3.380916604057105
QP059003,1120.0,1349.0,20.446428571428577
QP059004,1857.0,2013.0,8.400646203554118
QP059005,3168.0,2906.0,-8.270202020202023
QP059006,2111.0,1874.0,-11.22690667929891
QP059007,2980.0,2976.0,-0.13422818791946067
QP059008,1794.0,1696.0,-5.462653288740249
QP059009,1837.0,1556.0,-15.29667936853566
QP059010,1083.0,974.0,-10.06463527239151
QP059011,1192.0,1082.0,-9.228187919463082
QP059012,1194.0,1142.0,-4.355108877721947
QP059013,1470.0,1454.0,-1.0884353741496544
