code_qpv,iris_controle,distance_pauvrete,niveau
QP060017,604710201,16.9203796047546,commune
QP060017,604710501,17.180241732805353,commune
QP060018,604710701,28.82696578438684,commune
QP060018,604710101,29.619806830371896,commune
QP060018,604710201,31.587046271421258,commune
QP060018,604710501,31.84690839947201,commune
QP061001,610060102,25.012073764989243,commune
QP061001,610060204,25.212690911679402,commune
QP061001,610060103,30.690036050505896,commune
QP061001,610060201,,commune
QP061002,610060102,24.878740431655903,commune
QP061002,610060204,25.079357578346062,commune
QP061002,610060103,30.556702717172556,commune
QP061002,610060201,,commune
QP061003,611690302,3.071751196443266,commune
QP061003,611690102,20.24032763472035,commune
QP061003,611690203,31.939405494230424,commune
QP061003,611690201,34.85676317792083,commune
QP061003,611690101,35.89757850775133,commune
QP061004,611690302,5.705084529776599,commune
QP061004,611690102,17.60699430138702,commune
QP061004,611690203,29.30607216089709,commune
QP061004,611690201,32.2234298445875,commune
QP061004,611690101,33.264245174417994,commune
QP061006,610010304,8.416029048536622,commune
QP061006,610010202,23.437224339112113,commune
QP061006,610010103,40.26319426849054,commune
QP061006,610010401,41.86995351753953,commune
QP061006,610010101,42.749673863248546,commune
QP061007,610010304,4.517304284796715,commune
QP061007,610010202,10.503891005778776,commune
QP061007,610010103,27.3298609351572,commune
QP061007,610010401,28.936620184206195,commune
QP061007,610010101,29.81634052991521,commune
QP062002,624270104,0.8788603063224087,unite_urbaine
QP062002,625700104,0.9865949057497261,unite_urbaine
QP062002,591780114,1.3032413738904722,unite_urbaine
QP062002,624270105,1.8366647587174612,unite_urbaine
QP062002,624980203,2.2642908963040753,unite_urbaine
QP062003,622150104,9.960892093263308,commune
QP062003,622150106,11.229701116445362,commune
QP062003,622150101,13.781087165470545,commune
QP062003,622150103,14.144933763576415,commune
QP062003,622150102,17.389289174176533,commune
QP062004,620480102,13.174277810356749,commune
QP062004,620480101,14.716220066811527,commune
QP062004,620480105,16.954535977426936,commune
QP062005,620480102,8.074277810356755,commune
QP062005,620480101,9.616220066811533,commune
QP062005,620480105,11.854535977426941,commune
QP062006,620480102,10.874277810356759,commune
QP062006,620480101,12.416220066811537,commune
QP062006,620480105,14.654535977426946,commune
QP062007,621780104,1.2505786607518914,unite_urbaine
QP062007,620480102,5.507611143690092,unite_urbaine
QP062007,621780105,5.547288137693883,unite_urbaine
QP062007,620480101,7.04955340014487,unite_urbaine
QP062007,621190105,7.893281547154469,unite_urbaine
QP062008,621190105,14.793281547154468,commune
QP062008,621190107,17.19111983351485,commune
QP062008,621190103,22.312904057746188,commune
QP062008,621190101,23.457681337607017,commune
QP062008,621190102,23.551072821009623,commune
QP062009,621190105,9.693281547154466,commune
QP062009,621190107,12.091119833514849,commune
QP062009,621190103,17.212904057746186,commune
QP062009,621190101,18.357681337607016,commune
QP062009,621190102,18.45107282100962,commune
QP062010,621780104,6.017245327418564,unite_urbaine
QP062010,620480102,10.274277810356764,unite_urbaine
QP062010,621780105,10.313954804360556,unite_urbaine
QP062010,620480101,11.816220066811542,unite_urbaine
QP062010,621190105,12.659948213821142,unite_urbaine
QP062011,621780104,4.850578660751893,commune
QP062011,621780105,9.147288137693884,commune
QP062011,621780102,14.622602350004478,commune
QP062011,621780106,14.983821051549274,commune
QP062011,621780109,30.7152482575026,commune
QP062012,621780104,4.417245327418549,commune
QP062012,621780105,8.71395480436054,commune
QP062012,621780102,14.189269016671133,commune
QP062012,621780106,14.55048771821593,commune
QP062012,621780109,30.281914924169257,commune
QP062013,621780104,2.1160880059147757,commune
QP062013,621780105,2.180621471027216,commune
QP062013,621780102,7.655935683337809,commune
QP062013,621780106,8.017154384882605,commune
QP062013,621780109,23.748581590835933,commune
QP062014,621780104,9.483911994085219,unite_urbaine
QP062014,620480102,13.740944477023419,unite_urbaine
QP062014,621780105,13.78062147102721,unite_urbaine
QP062014,620480101,15.282886733478197,unite_urbaine
QP062014,621190105,16.126614880487796,unite_urbaine
QP062015,620480102,21.274277810356764,commune
QP062015,620480101,22.816220066811542,commune
QP062015,620480105,25.05453597742695,commune
QP062016,621780104,2.783911994085223,unite_urbaine
QP062016,620480102,7.040944477023423,unite_urbaine
QP062016,621780105,7.080621471027214,unite_urbaine
QP062016,620480101,8.582886733478201,unite_urbaine
QP062016,621190105,9.4266148804878,unite_urbaine
QP062017,621780104,5.683911994085221,unite_urbaine
QP062017,620480102,9.940944477023422,unite_urbaine
QP062017,621780105,9.980621471027213,unite_urbaine
QP062017,620480101,11.4828867334782,unite_urbaine
QP062017,621190105,12.3266148804878,unite_urbaine
QP062018,626170104,9.958371225873652,commune
QP062018,626170101,12.629051396731622,commune
QP062018,626170103,13.31062977890388,commune
QP062018,626170105,16.841842711452827,commune
QP062018,626170102,17.8961385961606,commune
QP062019,620650106,1.6548616873417288,commune
QP062019,620650107,9.272457334404372,commune
QP062019,620650105,15.030816128929985,commune
QP062019,620650101,26.48147333190513,commune
QP062019,620650103,30.260365020485118,commune
QP062020,621860101,12.534158843690893,commune
QP062020,621860104,21.252780308682002,commune
QP062020,621860106,25.036611280279576,commune
QP062020,621860103,25.63541718745496,commune
QP062020,621860105,32.45184085918393,commune
QP062021,625100202,0.976247987006218,unite_urbaine
QP062021,624130106,1.3591506263366995,unite_urbaine
QP062021,625100502,2.522525836744883,unite_urbaine
