code,revenu_median,taux_pauvrete,part_monoparental,part_locataires,annee,gini,s80s20
QP008001,12170.0,50.7,16.5,,2014,0.2,3.1
QP008002,11330.0,58.5,19.4,91.5,2014,0.2,3.0
QP008003,12361.0,49.3,18.6,,2014,0.2,2.9
QP008004,13569.0,40.6,17.8,86.6,2014,0.3,3.6
QP008005,12420.0,48.0,,,2014,0.2,2.9
QP008006,13309.0,42.9,16.8,77.7,2014,0.3,4.1
QP008007,12094.0,51.2,18.2,92.6,2014,0.2,3.3
QP008008,13341.0,43.6,18.1,80.3,2014,0.3,4.1
QP009001,13508.0,40.2,13.0,75.7,2014,0.3,4.3
QP009002,13950.0,38.2,11.7,79.8,2014,0.3,4.7
QP009003,13475.0,40.6,16.1,78.6,2014,0.3,3.9
QP010001,12899.0,44.2,24.1,,2014,0.3,3.9
QP010002,14197.0,33.8,19.9,,2014,0.2,2.9
QP010003,12449.0,48.1,20.3,93.1,2014,0.2,2.9
QP010004,12493.0,47.7,26.6,,2014,0.2,2.9
QP010005,11967.0,51.0,25.9,,2014,0.3,4.0
QP010006,11951.0,51.9,21.1,,2014,0.2,3.2
QP010007,11417.0,56.8,21.4,,2014,0.2,3.1
QP010008,11436.0,56.6,20.8,,2014,0.2,3.3
QP010009,12097.0,50.2,,,2014,0.2,2.7
QP010010,11747.0,52.9,18.5,,2014,0.2,3.2
QP011001,13180.0,41.5,17.0,75.2,2014,0.3,4.5
QP011002,10890.0,60.3,19.7,82.4,2014,0.3,3.7
QP011003,10429.0,63.6,18.0,,2014,0.2,3.2
QP011004,13559.0,41.3,14.7,80.1,2014,0.3,5.0
QP011005,12482.0,48.0,20.8,74.8,2014,0.3,3.8
QP011006,12269.0,49.5,29.7,,2014,0.2,3.3
QP011007,12033.0,52.2,19.3,83.2,2014,0.2,3.3
QP011008,13087.0,43.5,16.9,79.5,2014,0.3,4.5
QP011009,12341.0,48.9,20.7,,2014,0.2,3.1
QP011010,13148.0,43.7,15.1,60.1,2014,0.3,4.6
QP012001,13158.0,41.3,,,2014,0.2,2.9
QP012002,12376.0,48.2,15.3,77.6,2014,0.3,3.9
QP013001,10985.0,59.8,,,2014,0.3,4.1
QP013002,14876.0,30.4,,,2014,0.2,2.7
QP013003,14312.0,33.8,22.5,84.5,2014,0.2,3.1
QP013004,15372.0,21.6,25.6,,2014,0.2,2.5
QP013005,11797.0,53.2,20.6,,2014,0.2,3.6
QP013006,12883.0,45.6,,,2014,0.2,3.2
QP013007,11852.0,53.7,25.4,,2014,0.2,3.1
QP013008,12326.0,48.0,26.6,,2014,0.2,2.9
QP013009,,,,,2014,,
QP013010,12270.0,49.2,17.9,,2014,0.2,2.8
QP013011,12273.0,49.4,18.5,,2014,0.2,3.0
QP013012,12504.0,48.1,20.3,,2014,0.2,2.9
QP013013,11528.0,54.4,12.9,66.6,2014,0.3,4.8
QP013014,14232.0,33.7,22.7,,2014,0.2,3.0
QP013015,12680.0,45.0,22.4,,2014,0.2,3.0
QP013016,13705.0,38.8,19.6,,2014,0.2,3.2
QP013017,12988.0,42.6,18.9,,2014,0.2,3.1
QP013018,13135.0,41.1,24.6,95.0,2014,0.2,2.8
QP013019,13843.0,34.6,29.3,,2014,0.2,2.7
QP013020,13877.0,36.6,24.2,,2014,0.2,2.7
QP013021,12767.0,45.4,24.9,,2014,0.2,3.0
QP013022,13041.0,42.6,26.4,,2014,0.2,3.0
QP013023,13778.0,35.3,23.3,,2014,0.2,2.6
