code,taux_pauvrete_pre,nom_qp,insee_com,lib_com
QP093015,40.96666666666667,Trois Communes - Fabien,93048; 93053; 93063,Montreuil; Noisy-le-Sec; Romainville
QP093016,36.4,Branly - Boissière,93048; 93053,Montreuil; Noisy-le-Sec
QP093017,34.5,Boissière - Saussaie-Beauclair,93064,Rosny-sous-Bois
QP093018,44.06666666666666,Bel Air - Grands Pêchers - Ruffins - Le Morillon,93048,Montreuil
QP093019,32.5,Jean Moulin - Espoir,93048,Montreuil
QP093020,32.03333333333333,Béthisy,93053,Noisy-le-Sec
QP093021,41.63333333333333,Le Londeau,93053,Noisy-le-Sec
QP093022,41.1,La Boissière,93053,Noisy-le-Sec
QP093023,35.56666666666666,Sept Arpents - Stalingrad,93055,Pantin
QP093024,47.63333333333333,Quatre Chemins,93055,Pantin
QP093025,40.86666666666667,Marcel Cachin,93063,Romainville
QP093026,38.833333333333336,Quartier de L'Horloge,93063,Romainville
QP093027,32.46666666666667,Gagarine,93063,Romainville
QP093028,43.1,Franc Moisin - Cosmonautes - Cristino Garcia - Landy,93001; 93008; 93027; 93066,Aubervilliers; Bobigny; La Courneuve; Saint-Denis
QP093029,36.333333333333336,Centre Ville,93031,Épinay-sur-Seine
QP093030,39.199999999999996,Orgemont,93031,Épinay-sur-Seine
QP093031,34.53333333333333,La Source - Les Presles,93031,Épinay-sur-Seine
QP093032,31.46666666666667,Thorez-Géraux,93039,L'Île-Saint-Denis
QP093033,32.53333333333333,Méchin - Bocage,93039,L'Île-Saint-Denis
QP093034,48.13333333333333,Paul-Cachin,93039,L'Île-Saint-Denis
QP093035,43.86666666666667,Centre Ville - Chatenay - Maroc - Poètes,93059; 93072,Pierrefitte-sur-Seine; Stains
QP093036,52.666666666666664,Joncherolles - Fauvettes,93059,Pierrefitte-sur-Seine
QP093037,39.23333333333333,Plaine - Landy - Bailly,93066,Saint-Denis
QP093039,36.43333333333334,Grand Centre - Sémard,93066,Saint-Denis
QP093040,47.26666666666667,Floréal Saussaie Allende,93066; 93072,Saint-Denis; Stains
QP093041,46.833333333333336,Plaine Trezel - Chaudron,93066,Saint-Denis
