unit_id,annee,traite,commune_cluster,revenu_median,taux_pauvrete,log_revenu
IRIS_543040103,2012,0,54304,15448.75,,9.645283372903945
IRIS_543040104,2012,0,54304,26832.3076923077,,10.197361951361122
IRIS_543040105,2012,0,54304,24760.0,,10.116984726798533
IRIS_543040107,2012,0,54304,12959.3333333333,39.9821375409348,9.469571528253946
IRIS_543040108,2012,0,54304,23151.0,,10.049793255125712
IRIS_543950101,2012,0,54395,12652.0,44.4509006391633,9.445570584425539
IRIS_543950801,2012,0,54395,15686.0,27.1391529818496,9.660523873772611
IRIS_543950802,2012,0,54395,16694.6153846154,24.9625561657514,9.722841514353496
IRIS_543950803,2012,0,54395,17260.9090909091,23.7334550433592,9.75619963363909
IRIS_543950901,2012,0,54395,16889.5652173913,25.4980079681275,9.734451267456974
IRIS_572270101,2012,0,57227,15516.0,27.9688972667295,9.649627028559857
IRIS_572270103,2012,0,57227,16885.6666666667,26.6864658464149,9.734220414815885
IRIS_572270109,2012,0,57227,15903.2142857143,28.7625418060201,9.674276524111717
IRIS_572270110,2012,0,57227,16776.0,21.9975031210986,9.727704572581755
IRIS_572400104,2012,0,57240,16000.0,28.1151596941071,9.680344001221918
IRIS_574630203,2012,0,57463,11957.2222222222,,9.389090744862058
IRIS_574630501,2012,0,57463,12121.0,47.5216751185997,9.402694764470512
IRIS_574630806,2012,0,57463,13554.7826086957,35.2112676056338,9.514494724083445
IRIS_574631002,2012,0,57463,11688.4615384615,51.5495668912416,9.3663574408834
IRIS_574631004,2012,0,57463,12088.9166666667,47.4619289340102,9.40004433385924
IRIS_574631005,2012,0,57463,11749.5833333333,50.920656176766,9.371573057950638
IRIS_590080101,2012,0,59008,15547.0,24.2412219797659,9.65162297294974
IRIS_590080102,2012,0,59008,14694.8148148148,29.9281314168378,9.5952499768556
IRIS_590080103,2012,0,59008,15628.5,24.0472245236123,9.656851449520348
IRIS_590080104,2012,0,59008,14933.8461538462,27.7873439517865,9.611385469804684
IRIS_590090103,2012,0,59009,15977.5,23.5105315947844,9.678936761524437
IRIS_590090502,2012,0,59009,14632.6666666667,28.7403029183598,9.591011751270793
IRIS_590090603,2012,0,59009,14182.1739130435,33.7119491140391,9.559741096730757
IRIS_590090704,2012,0,59009,14778.125,28.7187039764359,9.60090332583224
IRIS_590090705,2012,0,59009,14594.6666666667,28.0349627711233,9.588411444155646
IRIS_590140101,2012,0,59014,13406.6666666667,38.4317771472788,9.503507374658536
IRIS_590140102,2012,0,59014,13721.1111111111,35.0108225108225,9.526690882775648
IRIS_590140103,2012,0,59014,13573.5,37.1499176276771,9.515874641459298
IRIS_590140104,2012,0,59014,15014.2857142857,30.4974116587891,9.616757407809729
IRIS_590140105,2012,0,59014,14043.8888888889,33.0394922425952,9.549942625614253
IRIS_590170102,2012,0,59017,15211.0,28.6729857819905,9.629774129311743
IRIS_590170103,2012,0,59017,15348.5,31.3968547641073,9.63877302837074
IRIS_590170303,2012,0,59017,14563.3333333333,34.4354838709677,9.58626223327737
